EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
249419.28,959529.59,1156.15
904760.45,3621251.41,1156.15
253494.95,946817.12,1156.15
224930.19,1039971.91,16909.56
201671.26,908744.96,1156.15
197353.91,963818.6,1156.15
4953808,6095058.51,45112.1
233993.31,2260027.65,1156.15
4827166.99,6546526.63,1156.15
1656076.68,6651416.58,1156.15
173745.75,891828.94,1156.15
131603.72,910934.2,1156.15
121909.98,855874.81,1156.15
918318.8,1244786.27,1156.15
237001.43,1029377.57,14993.59
183947.03,857929.75,1156.15
602184.92,1575523.35,1156.15
2830478.9,2532731.59,1156.15
294493.38,777331.49,1156.15
204023.28,847319.1,1156.15
116698.4,1067685.04,1156.15
150282.6,794422.49,1156.15
183862.44,872756.17,1156.15
1294438.45,922375.7,20783.91
166186.53,813468.81,1156.15
178449.79,768977.28,1156.15
146496.95,756301.44,1156.15
141616.75,908762.07,11192.05
155397.6,948986.89,12139.35
120419.27,1467992.51,1156.15
6579.36,722554.91,1156.15
101442.65,1285859.65,1156.15
28475.95,743713.15,1156.15
1754554.57,2368527.52,22261.09
302074.25,1200869.36,15900.77
16357.69,762787.88,1156.15
1393989.14,1714347.29,38774.29
28451.79,747949.26,1156.15
435051.43,698820.8,1156.15
128452.19,760516.08,10277.76
307731.08,912873.24,1156.15
202065.15,834429.91,43841.25
376324.39,1169087.52,1156.15
3464501.83,7176972.76,1156.15
63864.02,855933.81,1156.15
78102.64,2921017.45,1156.15
30985.07,654752.53,1156.15
58801.83,690731.09,1156.15
261483.8,2353193.85,1156.15
146488.19,1459493.84,1156.15
9245.57,606059.48,1156.15
2248.96,652562.21,25664.4
65732.68,879230.41,1156.15
5036.97,642070.59,1156.15
20902.21,667455.72,4548.59
1487205.43,4319416.39,46614.44
1191211.95,7784813.56,53232.04
1131054.73,1145021.78,1156.15
249829.74,1588566.34,6186.25
6286233.88,18484337.62,30769.57
5260.89,601791.69,9366.67
33687.05,531899.85,1711.21
39317.68,597556.68,1156.15
3168208.49,13853364.93,1156.15
2248.96,548752.66,31453.74
2378999.34,10448344.56,1156.15
2248.96,580539.97,27605.61
72901.72,671528.57,30456.61
428892.52,14057364.09,1156.15
2248.96,826348.5,1156.15
2248.96,493812.83,1156.15
26827.49,1031737.83,8275.65
2248.96,542528.26,1156.15
2248.96,606070.11,1156.15
2248.96,608188.13,1156.15
367820.74,1605353.95,14817.54
2248.96,540410.2,1156.15
2248.96,692910.6,1156.15
2248.96,500167.03,1156.15
2248.96,540410.2,1156.15
2248.96,618778.44,1156.15
2248.96,555213.13,6502.1
4183864.85,13701920,4402.89
57766.97,521288.18,1156.15
8444.94,745832.11,5484.23
2248.96,504403.13,1156.15
9955.45,481074.43,5565.16
2248.96,413326.5,1156.15
7811.94,506512.6,1156.15
2248.96,514880.03,27625.68
4091611.81,1455483.68,1156.15
1353727.82,11582543.17,1156.15
2248.96,428152.92,1156.15
2678104.05,3979469.21,11213.06
27912.38,491665.83,1156.15
401593.33,1300365.5,4355.13
53812.14,512820,1156.15
1798110.19,4556391.44,30228.77
2655673.84,3350439.73,9486.12
2248.96,464159.96,1156.15
230061.26,1194637.39,4387.45
2248.96,383673.63,1156.15
5024479.58,21078262.44,1156.15
2248.96,398423.42,19024.86
5282042.47,22242927.81,1156.15
30683.61,356084.35,6562.97
2248.96,351879.21,6564.25
1104570.2,522257.35,20906.21
463321.67,3460684.54,10412.03
60271.71,432299.96,7499.27
2248.96,411208.41,1156.15
2248.96,570063.07,1156.15
2870.59,320129.29,1156.15
648194.04,4737724.3,1156.15
2469181.06,605677.01,1156.15
18942.55,309515.56,2738.79
984608.43,1553954.12,1156.15
49843.79,2260191.34,5980.96
303203.92,1355550.14,1156.15
56955.38,311562.26,10414.98
2248.96,197284.21,1156.15
2248.96,245999.17,1156.15
2248.96,434507.12,1156.15
1688879.74,6164231.87,1156.15
1035548.94,2799315.35,1156.15
2248.96,193048.08,1156.15
2248.96,235408.86,1156.15
2248.96,214228.7,1156.15
355545.58,11126058.7,1156.15
2034112.11,733202.21,1156.15
65171.05,275571.6,4668.37
2248.96,248117.68,1156.15
2248.96,133742.35,1156.15
67486.82,220499.96,4685.2
19664.36,534035.2,1156.15
2248.96,133742.35,1156.15
2248.96,193048.08,1156.15
1155415.42,1786765.94,1156.15
1721615.54,426402.73,1156.15
2248.96,180339.7,1156.15
6330650.92,14913412.03,1156.15
1801769.36,6725400.22,1156.15
2248.96,173985.06,1156.15
584046.46,895647.96,1156.15
2248.96,123152.04,1156.15
2248.96,70200.5,1156.15
5028.78,292589.38,1784.36
5791.77,156968.05,17179.46
478817.6,391537.58,29582.59
2248.96,91275.87,25835.96
