EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
310676.43,745475.84,16999.57
1369597.16,1784430.15,1156.15
51568.87,555183.27,1156.15
2248.96,510733.84,6515.69
2248.96,438743.23,1156.15
8438552.18,11713014.77,1156.15
100055.57,1177829.28,3432.98
2248.96,383673.63,1156.15
212558.9,754100.96,4522.1
2248.96,445065.76,8454.97
2045129.71,1959541.66,1156.15
42392.46,404644.52,40134.21
27058.78,290452.01,1156.15
11251.53,254461.23,1156.15
2248.96,239645.44,1156.15
17428968.97,21999669.76,4745.41
2248.96,248117.68,1156.15
2248.96,483222.52,1156.15
2248.96,313777.58,1156.15
2248.96,993675.41,1156.15
27360.8,235305.78,19074.72
53716.76,178148.88,5657.75
9842.07,150678.25,1156.15
37658.82,186656.82,1156.15
1039989.38,4476806.02,1156.15
2751359.86,13593245.94,2516.9
15727.84,169670.33,16215.97
1511265.17,456176.25,22845.61
80189025.97,27474194.18,92315.11
3929039.85,6094176.88,1156.15
25685.57,180314.83,1156.15
20269.2,76512.43,6648.42
607522.87,2744674.11,1994.46
313912.72,1232692.45,1156.15
2248.96,207826.5,12365.9
2248.96,63846.31,1156.15
2248.96,4540.59,1156.15
14477.34,387793.89,24785.72
495034.56,707130.9,24688.11
42453.22,46820.83,10495.9
4492144.27,5273830.68,20413.45
5743459.82,68011203.3,24267.64
271162.65,300611.2,44004.42
605480.24,3799288.95,42935.02
117037.13,298551.71,67035.51
2248.96,2229.52,41216.87
2248.96,2229.52,57530.14
2248.96,2229.52,1156.15
2248.96,97707.72,7601.54
2248.96,2229.52,1156.15
2650510.37,6010754.51,1156.15
2248.96,2229.52,1156.15
2248.96,301069.22,1156.15
4034990.41,6818418.91,4587.69
2345298.32,2673019.25,1156.15
28400.12,55347.16,1156.15
455767.1,1628623.41,1156.15
312837.79,368526.27,1761.15
2248.96,10894.77,1156.15
46112.27,108280.4,1156.15
1803890.41,38716.06,1156.15
4882299.29,4250505.19,1156.15
42714.45,2229.52,1156.15
2248.96,2229.52,1156.15
2682.76,2229.52,1156.15
10183919.5,9254169.44,29752.45
71038.98,298839.66,10418.87
30302.34,70078.58,22963.63
36709.7,2229.52,1156.15
2248.96,942841.89,1156.15
40685.13,6604.22,4750.58
6540.34,25644.14,18179.2
39722.38,877127.61,3524.9
277053,1027267.83,3479
47308.69,1298505.35,28345.76
22627.87,10740.12,32577.79
