EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
2248.96,2229.52,21065.19
36709.7,2229.52,1156.15
2248.96,258707.98,1156.15
2248.96,2229.52,1156.15
2368041.09,1491043.75,19650.49
35652.47,1239305.89,6293
10689.1,2229.52,1156.15
10470.36,38344.35,19134.92
11008639.61,41165944.64,28634.74
70216.44,91238.94,18159.15
862621.68,126334.03,43098.09
16342.27,63831.62,1156.15
42414.12,50962.95,32565.5
708670.98,2206593.91,1156.15
2248.96,21485.08,1156.15
104408.42,59331.25,42158.96
954425.81,10352354.76,1156.15
181508.55,6898609.08,1156.15
132550.14,38113.97,44084.65
9986357.43,94399894.03,17161.29
89727.93,529626.73,24742.37
1562771.18,99828428.11,43330.48
2248.96,34193.45,1156.15
515347.73,1359570.66,1156.15
2248.96,2229.52,1156.15
11600271.97,6935717.44,1156.15
39296.11,250185.41,3716.53
8613.87,15124.34,1156.15
52153.28,101920.1,1156.15
8687.51,2229.52,1156.15
2248.96,2229.52,6671.13
612318.02,851112.57,7371.26
429914.65,2651667.5,1156.15
8687.51,2229.52,1156.15
2248.96,17248.96,1156.15
2248.96,438743.23,1156.15
38648.59,12968.61,2829.43
14682.04,2229.52,16267.18
2248.96,1345273.62,1156.15
55698.39,529644.97,28580.77
490000.21,1942016.07,10876.22
2248.96,150686.84,1156.15
2248.96,53256.01,1156.15
44243.93,80597.42,36394.85
502321.36,130993.6,29662.23
58723.4,2229.52,6671.15
56712.73,2229.52,20105.6
2248.96,2229.52,1156.15
1810191.07,22085354.92,24870.88
2248.96,55374.07,1156.15
16487.28,38414.88,1156.15
1651065.96,3319730,1156.15
97983.16,137873.21,2791.25
2373168.51,43394564.1,1156.15
66671.91,12947.27,1156.15
43849.3,152713.7,12382.74
91101.57,2044067.43,15643.04
2248.96,2229.52,16267.17
48714.33,2351.78,6671.09
54587.3,724510.69,27561.61
2248.96,46901.82,1156.15
32539.37,29870.16,14339.5
46441.7,48918.48,14333.67
2248.96,354020.76,1156.15
24241.46,78507.89,34476.28
2248.96,51137.95,1156.15
18517660.66,59915808.85,10428.83
12690.68,2229.52,1156.15
24807.08,1031621.33,36104.16
2248.96,42665.7,1156.15
2248.96,161277.15,1156.15
2248.96,161261.38,4703.31
20333.36,65945.61,1156.15
6438.73,396375.44,1156.15
2248.96,2229.52,1156.15
912426.18,1926804.22,1156.15
36176.86,95582.2,1156.15
18240.85,80734.23,10485.54
2248.96,29957.33,1156.15
3632344.97,4069604.19,4468.29
80395.49,61588.17,15289.4
2934493.73,6052826.83,1156.15
2248.96,2229.52,1156.15
479045.27,1757777.3,6134.52
2248.96,29957.33,1156.15
125219.98,1328196.47,1156.15
16003.92,123137.34,1156.15
2248.96,116797.86,1156.15
100223.2,447113.3,1156.15
2332641.39,9800166.96,21908.74
2248.96,112481.01,20071.86
12445.57,40370.46,40245.56
2248.96,2713488.96,11600.02
2248.96,34063.69,31611.06
2248.96,2229.52,1156.15
144795.27,2229.52,1156.15
2248.96,13012.83,1156.15
1404434.53,5149951.73,5097.67
2248.96,1470239.23,1156.15
144621.57,1785639.56,9004.82
42423.21,51020.17,19131.04
46050404.06,174442491.6,1156.15
1280011.6,996567.06,10205.61
2248.96,2229.52,1156.15
1115374.65,384642.65,4635.03
16693.85,2229.52,1156.15
34961.22,305148.7,29609
145623.56,207727.57,1156.15
24409.03,53233.17,1156.15
82742.42,2229.52,6671.16
32706.53,2229.52,1156.15
2248.96,21485.08,1156.15
2190149.38,6712297.25,1156.15
42714.45,2229.52,1156.15
44548.23,29853.87,15299.1
14226.51,1487163,1156.15
517816.22,1628560.34,1156.15
28703.36,2229.52,1156.15
1077978.67,975631.78,1156.15
2248.96,2229.52,1156.15
4928091.81,2539074.77,1156.15
1498961.31,11737012.28,1156.15
2248.96,366729.12,1156.15
2248.96,25721.2,1156.15
265948.24,167362.32,1156.15
40565.98,25601.38,20098.42
2248.96,29957.33,1156.15
2684398.82,9541444.38,13351.4
443970.65,1939912.08,18553.69
2248.96,2229.52,28742.02
3580663.46,1197495.85,25497.83
4646612.7,7317579.09,22667.57
18223.33,80623.87,36394.84
2430053.84,103574099.7,107438.56
30696.67,2229.52,13388.37
2248.96,290459.5,5623.42
2248.96,2229.52,1156.15
3598710.89,843868.45,1156.15
2430473.22,1776997.69,1156.15
2682.27,2229.52,1873.11
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
1847856.88,16188798.37,1156.15
2248.96,2229.52,1156.15
583574.11,2030922.89,1156.15
500329.29,1886980.2,1156.15
2248.96,423916.81,1156.15
2248.96,2229.52,1156.15
2248.96,570063.07,1156.15
777105.25,2138706.86,9856.5
48411.58,55299.24,7614.51
32087.31,110401.47,3759.25
2161361.12,879100.79,28473.96
128323.22,78398,35435.92
54009.86,127334.81,1156.15
103017.95,658915.4,1156.15
58240.19,87072.25,4725.99
60725.63,2229.52,5711.55
31327487.9,19964898.9,11124.97
9057167.5,14842683.28,38599.9
4429.44,46899.33,1156.15
2248.96,6658.65,1156.15
3876105.02,1339210.02,1156.15
2248.96,2229.52,1156.15
2248.96,504403.13,1156.15
14618142.24,22108445.75,1156.15
27912.38,491665.83,1156.15
1358312.64,1657358.65,1156.15
2248.96,65912.27,13368.88
388185.55,493417.66,1156.15
26516.69,31957.54,22975.28
78053.61,120883.67,18150.09
48518.14,34028.7,28732.26
2248.96,2229.52,1156.15
1008260.97,1265823.22,13002.11
2248.96,2229.52,1156.15
616836.52,2863164.92,27867.51
82175.17,95295.28,57501.62
112191.25,101798.79,15277.11
11088012.68,33924424.11,1156.15
2248.96,2419.47,1873.05
16693.85,2229.52,1156.15
40624.71,17194.53,4747.34
262315.31,453302.66,1156.15
8680600.65,32433532.93,17869.45
2248.96,2229.52,1156.15
92468.19,402626.83,4629.53
24594.75,19296.17,12423.52
2248.96,4525.27,4751.22
1167483,20223.87,19140.46
1537604.06,51675.62,5696.41
1148666.82,511630.46,18990.25
895361.78,5735.45,4750.85
35049.92,3450573.56,1156.15
2248.96,2229.52,1156.15
22698.6,2229.52,1156.15
2248.96,157041.03,1156.15
2248.96,74436.62,1156.15
64634.07,19303.49,1156.15
10373.77,57483.53,1156.15
23043.53,292574.13,1156.15
4771422.88,24384743.13,5935.6
90740.32,2229.52,19146.01
10146.47,1851471.57,1156.15
2248.96,101886.62,21034.7
4098201.07,4861300.39,1156.15
4124932.97,14559821.59,1156.15
551617.95,1317172.8,1156.15
2229286.74,9323776.3,6700.71
286905.78,2105287.71,16583.93
2248.96,339097.28,23841
