EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
22584.33,373060.49,1156.15
6455365.32,14805264.31,1156.15
2248.96,63835.08,3773.49
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
3101117.12,20701079.95,1156.15
2846126.78,13472443.42,1156.15
2248.96,2229.52,20105.59
511570.07,3422465.69,20979.34
44695.43,2229.52,31620.85
26665.59,6565.33,17225.43
503874.64,2316900.72,9802.03
74364.37,63622.41,36400.04
2248.96,48926.91,22970.09
2384417.47,13703606.03,37988.46
561384.49,304654.48,20013.12
2248.96,59345.55,63270.22
6671.16,2229.52,22984.4
24673.74,2229.52,40257.27
2248.96,14980.7,36414.91
349497.91,9730270.72,1156.15
2248.96,1290184.58,5317.85
50610.89,21435.8,1156.15
46559.38,29912.11,1156.15
43532.95,1963694.33,1156.15
52588.31,25669.89,1156.15
428268.08,6097735.36,1156.15
13575700.44,23079027.43,128204.23
2248.96,2229.52,1156.15
1602198.5,3114328.83,1156.15
2248.96,351902.71,1156.15
16254.6,78638.65,5688.17
2734595.25,5652577.07,32772.52
1070959.42,100881.44,1842.96
27929.8,133569.33,35419.06
5153603.85,11771210.95,47215.54
685829.69,1647383.51,16723.9
2248.96,2229.52,3792.32
141006.39,2069497.72,1156.15
2248.96,406952.9,5587.81
925269.48,1780645.78,1156.15
38698.06,4503.51,1156.15
2248.96,6658.65,1156.15
1531755.04,375762.52,1156.15
2248.96,15078.79,13384.42
93871.56,504177.29,31467.37
35024.93,8366566.44,1156.15
62730.3,2229.52,1156.15
1634256.99,6265953.44,1156.15
31811.16,159128.11,1156.15
2248.96,2229.52,8590.34
68598.91,2130994.73,1156.15
553253.67,679638.24,1156.15
46389.72,59561.92,1855.59
40195.44,794534.39,1156.15
51242.6,612370.95,1156.15
111842.75,163234.83,12379.53
21404.46,229034.33,1156.15
46535.22,34148.24,1156.15
2248.96,19367.02,1156.15
98733.51,6560.54,1156.15
88454.46,50940.68,26807.89
147338.45,608009.54,7445.56
18682.21,4523.86,1156.15
2248.96,68009.9,18166.25
36030.46,118796.07,21029.53
110216.43,97581.05,11439.99
38711.28,2229.52,1156.15
141744.57,887625.38,1156.15
2248.96,27839.27,1156.15
6563970.71,4174141.84,122467.45
2248.96,2229.52,6671.13
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
29640.4,188783.01,1156.15
1387099.59,10978261.18,139579.76
2248.96,59610.19,1156.15
18476.78,40530.91,1156.15
251062.71,671473.17,1156.15
131142.57,639784.48,10314.66
3825.23,152802.41,1156.15
72402.53,59486.42,13370.84
2248.96,70160.65,10488.77
1113958.84,984067.38,1156.15
2248.96,15095.14,9546
5696511.52,10635422.06,38926.28
28457.85,42545.82,22972.04
2248.96,38426.52,1862.05
18596.24,17147.42,21060.6
1866468.74,9766772.03,17120.94
1011029.84,77549.8,23920.95
36655.84,362455.94,1156.15
11827.67,5064531.47,4164.18
22689.68,2229.52,14347.97
12690.68,2229.52,1156.15
15547862,24733603.99,65324.32
823366.02,7355186.43,61999.78
38426.68,46677.76,45041.64
2248.96,2229.52,21065.19
2248.96,2229.52,34499.64
16678.44,2229.52,23944.01
384478.81,1490917.41,25408.14
549962.43,1607347.17,1156.15
2248.96,2229.52,1156.15
230737.45,21151.53,24897.79
26386.45,57467.26,1156.15
2657985.14,6103941.19,1156.15
16487.28,38414.88,1156.15
2248.96,262944.11,1156.15
504982.91,3877941.92,1156.15
30352.23,63810.23,2813.89
20321.27,68063.67,1156.15
62101.35,110309.64,18153.32
80194.61,97623.83,8561.17
58394.53,758379.28,31389.67
44716.04,2229.52,1156.15
2248.96,2229.52,13388.36
809008.58,54493.4,15291.57
43940845.16,27775996.38,45202.33
32680.72,2229.52,39297.67
296563.65,63543.72,1854.37
1911304.29,6468924.28,18128.95
2248.96,31986.5,22015.67
2295028.19,7625069.83,1156.15
800946.99,416748.33,1156.15
2248.96,256589.93,1156.15
551203.75,688112.49,1156.15
2248.96,2229.52,1156.15
2248.96,23603.14,1156.15
2248.96,747936.3,11241.2
2248.96,201460.04,15246.65
34614.51,14972.21,30657.29
2248.96,2229.52,1156.15
2248.96,49019.88,1156.15
2248.96,4525.27,4751.22
2248.96,76465.8,22002.07
296910.68,2229.52,8590.43
2248.96,620896.53,1156.15
32706.53,2229.52,1156.15
5291965.94,18398658.04,1156.15
1104433.48,5811111.37,1156.15
62636.29,17135.36,13383.79
116542.35,42549.27,1156.15
164573.7,33681.81,82470.11
6685.93,2229.52,1156.15
8610908.51,12024160.94,4915.71
2248.96,2229.52,17226.78
2248.96,53256.01,1156.15
54711.14,2229.52,20105.6
2248.96,2229.52,15307.57
1375065.6,1525966.44,13882.2
2248.96,2407.21,4751.86
24693.86,2229.52,10509.56
819909.49,2706340.53,1156.15
707549.25,298232.5,1156.15
134785.57,2229.52,3792.36
2248.96,2229.52,1156.15
523078.71,2229.52,24903.77
34523.68,31953.49,22015.68
17496.1,561511.78,15136.6
822408.24,509766.38,37223.27
6390676.67,1936046.74,4160.83
34550.19,25538,36411.68
610864.91,7421323.49,1156.15
2248.96,51065.41,18171.43
2248.96,2229.52,14347.96
3510532.94,8218598.3,94362.36
2248.96,104089.48,1156.15
258034.19,502022.16,1156.15
54616.97,17061.75,32575.86
1030475.33,528686.83,20904.25
12495.06,36293.74,2822.3
1382676.78,12469883.02,19173.51
74491.95,44678.39,8577.35
1276012.71,2699863.52,417516.09
1310847.67,149201.49,37333.48
511408.63,2045672.42,35794.21
437341.34,2399511.07,24170.82
30534.63,32046.45,1156.15
