EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
181712.6,1895978.1,450388.29
31500.41,1592190.48,201944.07
143911.1,3620468.32,365416.15
85412.87,1615450.46,198098.54
1218928.39,11967237.87,712160.22
31505.99,2284502.3,269864.24
81824.19,1213780.99,20694.84
219524.59,7909470.41,357387.96
344708.71,1435557.4,103152.87
2248.96,1165124.52,26467.33
2548947.8,33045828.17,1935927.82
437819.39,5826604.42,2012.04
68604.92,1408037.75,165535.45
115327.76,3045365.17,136246.92
520982.25,1073628.19,1156.15
2248.96,4620727,770062.72
2248.96,1046554.42,17867.15
43633.13,18382055.72,6139630.89
38914.53,1019048.96,1156.15
295117.37,1018788.53,1156.15
3440.49,919451.89,20784.81
2248.96,900342.72,33265.48
224833.4,1591214.05,1379376.74
2248.96,1273882.71,351739.35
2248.96,1518301.79,153986.53
39486442.27,58449648.62,89564.39
73105.55,1706863.45,5591036.94
247675.49,2304019.63,111523.84
2248.96,858119.42,1156.15
2248.96,510757.33,1156.15
95199.47,3974482.54,1300920.48
273505.79,1245729.41,430435.37
68503.78,2570346.2,2271507.91
1077797.33,5517074.82,415695.36
2248.96,1175828.68,1156.15
2248.96,889854.6,9278.62
167558.87,3297201.02,670668.59
25716.79,173928.98,8537.85
2248.96,2229.52,5711.53
2248.96,2422.53,1156.15
31463.33,919427.5,19825.21
280269.6,398053.13,536250.77
162474.07,20451940.28,2501144.7
2248.96,27839.27,1156.15
158810.5,1373685.23,252869.79
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,6682138.04,143771.73
2248.96,2229.52,44095.68
898341.09,513275.3,189799.01
283739.84,113282.59,758965.58
382019.41,8529288.37,499219.69
2248.96,32039.63,9540.82
2248.96,58940.91,158271
339286.79,23499935.74,2429202.55
20611.29,17230.19,1156.15
2248.96,2229.52,1156.15
2682.76,2229.52,1156.15
271341.21,1401050.27,2254592.39
2088563.93,5906954.1,137291.44
2248.96,42665.7,1156.15
28703.36,2229.52,1156.15
16690.12,2229.52,6671.14
2248.96,2229.52,1156.15
70605.73,23477.32,14341.45
2248.96,19294.48,18181.14
1212104.99,951486.6,167594.21
2248.96,135007.2,201429.87
861362.57,2229.52,1156.15
2248.96,6658.65,1156.15
51446.33,26920170.91,2594168.47
2248.96,89145.56,28715.42
46084.52,108105.67,42144.06
16090.12,103932.76,34468.51
1954509.83,32490398.25,703967.95
2682.76,2229.52,1156.15
2248.96,692343.5,134087.32
2248.96,2229.52,1156.15
993074.67,2816329.07,491369.89
30389.62,57463.19,1156.15
22770.06,9294838.8,1359749.27
44930.98,3067422.93,444272.6
2248.96,25624.14,23936.82
2248.96,15033.83,23940.06
2584.94,19366.56,1156.15
444161.45,150082.46,37333.22
71333.5,1155898.08,1180872.13
2248.96,656797.87,25663.1
305876.68,182030.56,28687.03
70605.48,21281.6,32574.57
2248.96,27807.6,8582.51
2248.96,149640841.2,27809558.54
2248.96,2458787.29,635419.54
124374.85,1006357.96,970764.77
2533229.11,17721064.09,611562.45
2248.96,2229.52,1156.15
2248.96,10826.32,17224.13
450149.13,2237770,201746.74
292741.02,1730649.13,452358
20276.68,2371170.71,1307168.14
1224176,176207.43,679299.39
2248.96,2370.42,13388.3
2248.96,72286.89,8568.92
32392.63,2314781.07,1614258.18
9544.07,192684.92,84340.72
26680.67,2271.98,30661.18
2248.96,2229.52,1156.15
587753.29,223442.78,184129.99
39124.33,279821.91,7545.88
2248.96,2229.52,1156.15
36476.28,40419.62,22972.69
11482.74,209839.92,34436.14
182492,1264022.82,1627054.24
2248.96,2229.52,12428.76
1241791.11,2061248.88,182608.64
2248.96,165703.16,453795.96
28653.88,10867.87,1156.15
566593.48,3756633.7,1612857.91
3251393.83,1703267.62,207667.73
628390.77,137256.38,21023.89
52710.2,2229.52,19146
1123476.74,1059961.06,82156.42
203270.86,4320446.38,7071864.52
54723.96,2229.52,1156.15
121967.91,7133368.04,3077139
2248.96,2229.52,1156.15
329701,7861649.08,618414.49
5932.96,1797491.91,740218.39
36634.98,360130.46,49743.84
344106.04,3454300.53,4520546.25
42435.38,51096.8,1156.15
188435.74,7008096.45,647463.43
707444.98,614093.3,434466.85
211877.28,1857340.08,563633.18
2248.96,85026.93,1156.15
2248.96,161261.83,4703.31
76952.52,3440931.42,264712.76
738202.46,7728513.21,1444672.97
68776.73,2987318.61,1343444.75
2248.96,156915.35,30613.91
1044536.32,2227863.65,396549.09
5124215.55,2534288.72,82665.38
259852.72,15633341.77,8454072.81
56298.13,74284.17,23921.95
2248.96,137929.99,12387.26
2248.96,17248.96,1156.15
2248.96,160257.2,737840.03
2248.96,31602.29,112218.43
676309.65,1516622.51,385251.27
60143.31,99615.1,43106.26
2248.96,59610.19,1156.15
261167.23,652323.84,18947.25
446926.71,996927.86,621472.31
458956.86,2108964.71,106785.45
54388.92,59508.82,12411.23
2248.96,51137.95,1156.15
26257.98,78599.86,12405.4
490923.29,27342.37,1156.15
28682.75,2229.52,31620.84
113077.36,2962617.29,1164966.21
482686.66,29465751.85,575346.09
2248.96,19367.02,1156.15
18327.4,417543.85,1156.15
98255.9,89125.1,10482.97
2248.96,2229.52,1156.15
1125293.98,10748478.54,1438951.85
12690.68,2229.52,1156.15
31207.17,254061.8,90079.58
253710.6,31210318.51,1789669.67
286962.04,2063953.26,272810.46
66824.65,3011767.74,1073788.9
168801.84,7795513.09,2260314.7
17698.77,173863.55,25810.71
8480.94,38423.02,1156.15
18633.87,12996.1,1156.15
54466.37,44637.43,22971.41
189253.78,4409261.2,645378.99
23877.45,6317677.9,1168738.68
48701.61,356089.53,1156.15
48198.47,396804.62,387512.76
152801.61,2229.52,1156.15
2248.96,446472.63,175425.39
2248.96,10875.37,5708.88
107309.17,1972871.76,316980.03
140836.58,330057.07,123642.44
13776.41,493087.97,167734.32
2248.96,2229.52,7630.74
2248.96,2229.52,1156.15
50294.92,76494.17,3769.62
37642.36,188747.29,7573.72
2248.96,2229.52,1156.15
84589.49,29873.46,1156.15
10689.1,2229.52,1156.15
617992.91,6123385.98,396317.97
43487.17,214063.93,29636.84
2248.96,55374.07,1156.15
601406.39,9367780.67,506640.19
14147.34,97722.64,1156.15
368473.15,761400.83,242501.32
2248.96,23530.6,18179.84
2248.96,97735.3,1156.15
61591.47,201447.59,3731.42
22403.06,53207.62,7615.14
13768.27,512784.06,18989.9
750431.65,7162673.52,25593.72
247635.52,917020.19,36139.19
44716.04,2229.52,1156.15
35731.95,152022.91,176475
2248.96,1037579.39,135901.01
2248.96,1785796.38,1003153.06
234866.58,2229.52,1156.15
1996261.2,2229.52,1156.15
2248.96,2229.52,1156.15
14692.27,2229.52,1156.15
4466161.65,45601119.77,101168.48
1254527.27,892456.94,92763.25
252834.27,2229.52,70005.07
2248.96,445097.43,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,1918845.19,597200.46
2248.96,2229.52,1156.15
22296.35,50341.59,183223.29
2248.96,121033.98,1156.15
6685.93,2229.52,1156.15
36188.94,93464.13,1156.15
52417.84,7665970.95,876607.36
34879.74,6513185.21,1014182.89
12629.17,2229.52,92075.88
107914.32,8471030.86,815906.35
70693.96,2229.52,64247.38
72725,4468.92,1156.15
1335999.51,4514586.03,10089.89
90484.26,42339.69,56558.2
82804.38,692797.11,7419.65
3979729.55,3863411.88,95693.56
2248.96,749147.01,224272.61
874431.54,867806.9,3527.74
72655.65,15003.04,14344.04
69223.25,256128.95,92957.75
47898.14,1843097.47,465758.1
3682.48,173845.09,33487.54
2248.96,2229.52,1156.15
2248.96,801111.1,1450628.88
100729.82,4120691.28,787488.41
51137.21,1240354.05,750944.32
2248.96,15082.88,12424.81
50152.01,97535.82,36389.67
10580.06,54697622.02,3272753.53
64831.51,967904.78,564864.66
104602.95,9794119.23,481560.23
40627.14,17209.85,1156.15
26736.24,694898.6,24691.85
2248.96,4946684.15,828498.85
22649.13,10873.97,1156.15
630514.06,6289522.32,1169706.91
27795.43,161247.19,1824.51
58054.64,1142969.35,241425.09
66230.45,82574.58,64222.72
1435402.07,3424635.27,1279977.28
63901.95,139760.19,65164.85
44332.66,67991.24,12408.64
246661.14,8061844.06,380371.83
16293.94,72303.86,1156.15
6685.93,2229.52,1156.15
209950.85,8022482.13,1673928.13
2248.96,1523069.18,29236.73
2248.96,64453.11,355947.44
2248.96,2229.52,1156.15
34289.88,52422.92,188980.27
72233.75,86947.65,30635.29
36756.79,12533886.01,729259.87
1590767.07,182118.96,198536.65
459152.16,12843775.44,971944.6
979076.24,77150017.98,793954.34
2248.96,495855.85,18035.47
202407.21,6170742.19,1808838.58
38535.97,1737466.15,404375.82
2248.96,2229.52,1156.15
14672.31,2229.52,30661.23
30659.02,2229.52,69045.39
66512.93,33887.77,57520.39
379661.78,2279004.73,482897.71
545156.62,14656259.54,586589.93
9311.07,931765.83,111943.29
557598.94,7455353.85,1471625.32
2248.96,2229.52,1156.15
108097,116588.42,24868.62
2248.96,2229.52,17226.78
310906.19,2229.52,31620.93
3163832.4,8262342.25,349603.26
823165.79,4516800.76,606962
48602.73,19202.27,28736.8
1146692.34,4718123.36,7148.87
876083.69,6685230.1,1694488.59
12690.68,2229.52,1156.15
2248.96,2229.52,1156.15
368694.56,4330058.26,2290162.06
47735.73,360979.1,1339449.48
41142.45,360595.65,7894494.69
34694.46,1044017.1,107110.96
510618.22,4172379.66,986110.35
8031.8,114584.34,21990.42
41283.68,24082081.8,3071958.47
2248.96,21485.08,1156.15
2248.96,34193.45,1156.15
71775.9,2624420.32,18344.46
13341.6,938516.51,17900.17
103956.36,139862.56,31578.72
96033.96,125040.17,32542.85
21047.26,2973951.07,1012385.9
2248.96,87144.99,1156.15
116090.04,6083129.47,22085.29
2248.96,2229.52,1156.15
2248.96,3051394.36,2730050.9
79035.3,1232961.74,987968.36
2248.96,177585.06,150557.91
586922.97,39586908.35,782405.42
633855.49,3109767.84,2296292.65
10623.95,8593.4,42174.47
2248.96,2229.52,1156.15
232718.84,27604.83,1156.15
2627254.05,8321162.73,94331.01
78572.66,31997.62,1156.15
2265851.2,30591854.38,313989.96
2248.96,49707309.31,2829023.12
777776.45,5518745.16,95187.59
105444.39,571628.32,105336.15
2248.96,2833509.51,2664864.59
94588.61,363878.4,150500.97
47658,889839.03,1156.15
3996088.02,5544701.45,194978.32
10684.72,2229.52,7630.74
155371.56,25099521.64,3359528.26
2248.96,21635359.24,5171356.9
2248.96,322249.84,1156.15
538904.32,2138871.32,28088.9
785822.35,2011525.1,31006.63
2248.96,15037.92,22980.45
485190.6,1642366.76,745063.77
139707.57,1876451.47,569384.96
95802.81,163079.45,52682.88
1168897.33,2447172.89,1091234.32
210201.2,5707505.65,170938.49
1450007.6,4516146.86,113726.49
787360.92,652578.47,330818.02
12010.15,118812.31,22948.73
12242.99,78589.58,18163.02
4681.91,2229.52,4751.93
2645.36,8776.26,1156.15
2248.96,1545053.55,2821673.41
42630.4,357871.39,81411.42
2248.96,555236.62,1156.15
66675.07,10773.02,14345.33
540707.5,67372.22,39277.7
64285.92,759853.65,181087.22
2248.96,10894.77,1156.15
24935.54,658864.99,31420.09
282228.15,4287582.78,348898.97
4684.34,2229.52,1156.15
84132.8,79657.53,247507.71
223338.41,816557.31,1251026.8
1185745.41,3456822.54,247435.05
96479.37,48855.35,17212.5
98553.38,385574.04,28624.81
18515.54,31998.38,15298.45
36418.54,53220.96,1156.15
1484049.71,316469.89,9453.88
2248.96,61721.11,2814.53
2248.96,116672.18,30626.21
27831.64,8822614.33,837869.77
18642.87,10858.64,5708.88
26220.43,84945.87,14322.66
20159.15,95566.81,8561.8
1089587.44,2054297.32,359177.65
26398.53,55349.2,1156.15
32381.37,55205.16,33523.81
593322.8,5916888.52,150722.85
551881.77,22282416.1,305974.19
22184,89128.84,27755.82
65253.69,612356.71,1156.15
2248.96,13012.83,1156.15
2248.96,1194678.95,1044596.65
3425531.53,3366860.09,943174.4
4027815.36,3153832.8,92072.04
34490.02,38324.03,18175.32
11102.14,279850.39,7545.87
328915.23,5184136.89,689283.85
2248.96,25721.2,1156.15
2248.96,99690.9,39267.82
2248.96,2832388.17,937580.18
38614.03,17139.34,18181.8
58388.19,59480.23,18168.86
47907.98,5368173.61,314023.02
22643.85,8646.58,26820.82
179620.79,207506,44992.48
2248.96,2229.52,28742.02
36599.8,21450.04,1156.15
110090.91,749572.94,594679.06
61652.72,7753247.45,1269058.11
1124967.75,450038.97,64110.4
1790547.57,7616293.76,190506.72
242135.79,6485310.55,2536121.08
189327.81,5557874.31,5468950.38
6318.28,63740.64,24884.77
105836.08,1840164.23,643285.46
81943.08,493728.95,1156.15
32702.8,2229.52,6671.14
60640.05,12782.74,41213.59
2248.96,38429.57,1156.15
872475.87,854933.03,42875.39
49885.81,2207796.4,372565.16
1668975.5,10318614.95,291398.6
49865.02,853829.96,1156.15
2248.96,91381.11,1156.15
2248.96,6631.07,7629.38
2248.96,40547.64,1156.15
2248.96,17248.96,1156.15
402741.62,367380.2,249338.97
67852.99,154786.92,17180.12
201583.34,222497.02,1156.15
43600.87,192838.35,40198.95
393227.59,9330602.84,830997.21
167208.18,3057464.66,266749.16
32427.76,46720.65,36405.2
734091.67,1602667.48,60879.28
10689.1,2229.52,1156.15
32706.53,2229.52,1156.15
2248.96,2229.52,1156.15
70719.92,2229.52,25863.23
20697.02,2229.52,1156.15
36268.62,1463160.37,160720.6
456823.01,12138468.06,1469234.33
536073.23,533510.28,1156.15
2248.96,2229.52,1156.15
523459.85,28204871,1213867.2
2248.96,129506.23,1156.15
2248.96,2229.52,1156.15
182315.73,14729934.32,780407.18
31133.39,2541626.27,1564289.47
2248.96,411208.41,1156.15
2248.96,69261907.25,19573869.42
2248.96,209992.57,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
1540220.57,295268.06,1156.15
2248.96,46901.82,1156.15
2248.96,2229.52,1156.15
692031.05,6791322.44,699348.23
34917.03,25776490.68,4074225.11
2248.96,2229.52,893345.07
344056.76,14305494.46,1931100.34
1020243.57,219546.82,1156.15
2248.96,2229.52,307027.14
641263.44,7322721.89,268324.26
306061.27,851333.95,28482.45
2248.96,2229.52,1156.15
18695.44,2229.52,1156.15
732261.42,7852353.06,3201667.46
