EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
44606.14,21441.9,1156.15
344289.95,10100641.95,1558140.64
2248.96,13012.83,1156.15
66645.06,14972.36,22980.47
257191.87,5210446.98,1156.15
2248.96,2229.52,1156.15
2248.96,374985.78,51658.51
2248.96,2618205.23,5871.53
34708.12,2229.52,1156.15
525903.02,1259881.77,31236.38
2248.96,2229.52,1156.15
202284.22,99649.45,1156.15
2248.96,2229.52,1156.15
42576.01,25652.48,7623.57
16525.79,27686.63,33532.22
692095.78,901892.29,1156.15
2248.96,2229.52,1156.15
24678.93,2229.52,32580.44
570385.79,834238.44,1156.15
42714.45,2229.52,1156.15
2248.96,2229.52,1156.15
2185124.25,1628983.62,1156.15
575097.93,5603452.41,146980.23
8659.12,6632.69,5710.18
173440.08,37263495.46,1358877.08
39100.17,635681.8,1156.15
14692.27,2229.52,1156.15
24700.19,2229.52,1156.15
2248.96,517111.5,1156.15
12690.68,2229.52,1156.15
163160.8,8274498.7,697935.27
138238.29,444785.95,41081.55
85055.99,1694386.93,64689.66
334844.76,3658678.74,1791373.95
1429277.45,94150.81,4723.82
2248.96,2229.52,1156.15
1772134.95,3499638.08,1156.15
152801.61,2229.52,1156.15
462618.78,427682.48,1156.15
4137549.36,362643.59,470048.99
217333.62,2003083.01,159595.96
184794.68,2229.52,48893.76
2248.96,6492.1,40255.91
3504000.88,20636771.65,2566341.39
2248.96,2229.52,1873.11
266904.05,2081261.38,192198.55
1365563.1,386521.7,1156.15
2248.96,2229.52,12428.76
692647.49,7048140.42,12009145.98
1722148.56,3838482.77,22771.38
2248.96,2229.52,1156.15
442281.41,5737334.88,74009.52
2248.96,2229.52,11469.15
8687.51,2229.52,1156.15
10256.74,76493.99,13365.64
76352.83,67925.99,20085.48
2677.73,2229.52,8590.34
58286.59,430211.52,1156.15
42169.53,97694.16,1156.15
2928846.09,3534471.98,1156.15
56474.2,42480.55,31608.49
2248.96,17241.81,2828.13
1121698.41,303267.34,211934.06
657707.96,4084015.65,314415.53
96730.79,2229.52,40257.3
774833.6,10466271.59,1144440.18
54425.97,48771.37,46960.21
74562.91,29766.13,28733.57
36564.11,25613.62,18179.21
201656.89,1205424.63,462114.59
2664.74,2229.52,27782.42
30624.07,12862.31,29698.34
138787.26,6634850.23,272372.93
72756.63,1046374.46,41857.27
18378.97,57468.25,2815.83
2333458.06,6150840.9,5751.35
12806.01,332827.48,1156.15
2010530.97,2729435.76,261091.81
107747.19,3639400.03,404754.07
38711.28,2229.52,1156.15
584582.51,450857.04,1156.15
2389762.52,141904.96,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
90743.56,2229.52,14347.99
3036819.39,4606080.07,3344.71
13883225.02,29532866.04,19715.66
2248.96,188811.95,1156.15
1777827,25606637.63,3257655.4
55811.17,1200690.45,116659.1
2248.96,2039409.84,136554.4
18695.44,2229.52,1156.15
2248.96,13012.83,1156.15
50773.01,341168.1,22880.77
152456.71,1465842,1156.15
227984.3,154652.77,10462.94
4414.92,49002.07,4737.62
141597.92,908643.54,39020.56
1044195.72,6241148.51,2482457.99
535452.99,2373295.65,188270.87
401646.27,586480.61,28563.4
2248.96,4504.83,9549.24
2248.96,36173.57,33529.62
2377361.43,121173181.7,562668.48
74060.32,116561.7,39262.67
277528.73,938108.98,50526.78
123117.9,4133973.17,150308.21
34708.12,2229.52,1156.15
89281.24,3034257.7,263877.46
116054.61,478867.95,1156.15
261583.74,10177872.42,1845038.26
5322234.18,17967361.08,301535.53
939509.12,2793058.87,1156.15
974384.04,539418.91,1156.15
476404.72,9586021.15,20054.99
2195049.51,6544603.46,84318.4
289592.66,232997.81,1156.15
14461.04,42649.98,1860.76
4477.77,38427.08,1156.15
2652226.28,1850904.01,1156.15
2248.96,2229.52,1156.15
429020.32,2229.52,1156.15
917626.59,662246.81,18944.22
2248.96,167631.34,1156.15
14859.74,322183.03,13290.55
534129.38,520710.98,22825.89
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
72712.91,6586.98,1156.15
30605.35,19326.85,3787.09
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,23603.14,1156.15
30704.94,2229.52,1156.15
2248.96,2229.52,11469.15
18695.44,2229.52,1156.15
40651.31,12973.72,1156.15
16693.85,2229.52,1156.15
80690.45,8591.67,25861.23
2248.96,4540.59,1156.15
36933.78,313740.5,1156.15
1998113.31,24901114.93,271587.68
799607.25,2741857.82,120026.44
4359751.64,9869588.24,146635.85
2248.96,55289.27,21048.94
2248.96,2229.52,1156.15
651054.04,1427117.22,22548.84
113409.87,232904.03,65136.38
8274.78,72231.29,20084.16
2248.96,2229.52,8590.34
2539972.91,8871486.44,201638.28
8526.84,29935.45,4743.45
2248.96,2229.52,26822.81
6139.37,93332.19,39269.77
12116.08,453549.84,2694.76
26148.49,447087.43,24767.6
20673.17,2229.52,36418.86
7311148.59,14249102.89,81963.45
8026785.42,74357011.26,440714.7
657972.07,916676.67,18866.45
2248.96,2229.52,1156.15
8453.44,40444.01,23932.29
40594.44,19198.14,31615.61
771121.73,1730175.12,449479.35
1317485.77,1065435.33,242408.39
32332.39,63673.32,34480.82
2248.96,205756.44,1156.15
497436.01,7656549.85,1156.15
14692.27,2229.52,1156.15
40960.38,307301.56,20012.31
68727.43,2229.52,12428.78
2248.96,1902323.79,1156.15
2248.96,218416.81,12362.66
1316351.86,1644693.12,1156.15
293298.47,32723685.21,1526276.07
2248.96,2229.52,1156.15
2248.96,2229.52,9549.94
217031.4,671480.18,7426.16
31708.71,169453.77,63236.56
1357747.32,2229.52,13388.78
1388045.99,1675247.39,269090.86
136964.39,306750.21,126528.36
6488490.7,38593681.31,1828675.86
40683.82,2229.52,44095.69
601784.41,7253835.56,40919.5
2202881.8,2014079.65,87622.4
2248.96,1340789.14,59040.12
2090234.69,40485234.25,1851128.06
2248.96,2229.52,4751.93
636417.63,4985508.91,506060.5
2248.96,677889.02,46767.91
607138.76,22776032.18,266479.62
2615450.74,567003.9,94781.93
30962.09,300789.95,59358.01
255206.78,1698703.58,5192.98
2248.96,2229.52,27782.42
3560378.46,1921010.38,231591.24
2248.96,2229.52,1156.15
407412.82,3789082.97,1156.15
1471383.63,4993164.27,1307.19
2682.76,2229.52,1156.15
385602.92,234680,80489.47
122530.64,396257.43,1156.15
2248.96,101772.17,47903.61
2248.96,2229.52,1156.15
2248.96,2229.52,46014.89
2248.96,2229.52,22984.4
1303873.31,4048264.58,1094583.35
167593.78,1884343.42,698928.93
2248.96,2229.52,28742.02
1545773.24,718640.28,55391.88
360865.35,7419000.18,2594371.6
2248.96,2229.52,42176.47
2248.96,2229.52,46974.5
2248.96,2229.52,5711.53
2248.96,207777.45,23881.14
2248.96,2229.52,28742.02
2248.96,34067.78,30651.46
2248.96,2229.52,24903.61
2222451.56,327732.66,172582.87
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
997347.74,3178424.84,14336.71
2248.96,626810.33,104359.68
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,3792.32
264890.36,2229.52,1156.15
308925.21,2229.52,1156.15
567583.35,272958.18,1156.15
8399842.77,953253.54,26532.09
943427.59,2229.52,1156.15
2248.96,432389.03,1156.15
211218.84,96602393.24,9870647.15
2248.96,2229.52,1156.15
8685.73,2229.52,3792.32
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
8687.51,2229.52,1156.15
1973152.96,2296384.52,1156.15
2248.96,2229.52,1156.15
10689.1,2229.52,1156.15
290428.75,1840596.42,1156.15
38711.28,2229.52,1156.15
2520099.68,433434.77,148560.5
2248.96,2229.52,1156.15
90752.49,2229.52,1156.15
53583.98,197060.22,41157.27
36807.85,3403521.3,3586868.33
1307111.22,403772.32,440288.77
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,85026.93,1156.15
1467272.71,1474058.45,244202.68
22698.6,2229.52,1156.15
209631.22,565597.49,4579.72
6157663.48,8741367.96,51020.45
4664.38,2229.52,30661.23
1835591.79,1849616.03,1156.15
4792338.43,7374217.46,116691.31
2248.96,2229.52,1156.15
367671.69,11438909.83,140398.56
32699.55,2229.52,11469.16
60725.63,2229.52,5711.55
98758.34,2229.52,1873.14
53551.37,201243.19,53630.82
2248.96,2229.52,6671.13
2248.96,2229.52,1156.15
2388.91,51044.51,22969.45
285786.52,2957272.49,389608.92
3053988.93,1229319.57,138721.21
2248.96,2229.52,1156.15
154969.27,58754691.65,6978458.08
2248.96,2229.52,1156.15
2248.96,2229.52,39297.66
11388778.38,48841014.14,606848.31
2248.96,2229.52,46014.89
2248.96,2229.52,28742.02
2248.96,2229.52,1156.15
37104.4,1249008.09,711597.93
4957138.13,18843618.1,35457.77
2248.96,2229.52,1156.15
2671.89,2229.52,17226.78
1974132.92,7386020.45,7293.01
2248.96,112481.01,20071.86
20688.1,2229.52,14347.97
74726.98,2229.52,20105.61
2121591.46,483090.49,22837.39
50708.62,2229.52,19146
555348.52,1009905.64,35151.2
16684.93,2229.52,14347.97
710510.67,2218737.12,132661.17
2248.96,99833.96,5681.69
68735.05,2229.52,1156.15
12690.68,2229.52,1156.15
72024.12,127316.5,1156.15
293475.84,18590761.16,7801598.88
2248.96,2229.52,1156.15
2248.96,470514.15,1156.15
30704.94,2229.52,1156.15
1365761.92,2229.52,1156.15
2112197.76,8071294.29,202842.47
1494679.63,208474.32,1156.15
664605.32,808726.02,1156.15
48719.21,2229.52,1156.15
2248.96,2229.52,1156.15
5379.7,231168.66,1156.15
18266.98,428134.15,1156.15
48688.86,2229.52,46014.9
6685.93,2229.52,1156.15
15440.82,4035724.49,368168.02
264086.25,1546214.35,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
18680.02,2229.52,23944.01
26699.99,2229.52,3792.33
140699.57,368688.99,4639.91
2248.96,2229.52,4751.93
2248.96,2229.52,1156.15
2248.96,1055099.18,1156.15
398365.98,1164828.97,1156.15
199077.78,4871618.15,1156.15
312692.43,2497100.64,16464.17
53942.78,485118.64,40109.61
134017.03,133481.93,30621.07
175792.59,883335.21,5442.2
15909.75,137903.49,15266.08
217334.97,2020644.63,14690.6
433427.78,1334237.28,1156.15
2248.96,2229.52,1156.15
2502411.17,738856.55,53466.49
2248.96,103984.25,25832.07
2248.96,2229.52,3792.32
2248.96,106207.55,1156.15
2248.96,2345.9,19145.92
2248.96,1614219.49,11936.02
42643.32,12911.41,15304.28
