EYFP_MEFL,mKate_MEFL,EBFP2_MEFL,FSC_Eum
19997159.77,61257035.57,36887.75,9.11
286853.94,362201.62,1156.15,9.15
2248.96,2229.52,20105.59,10.08
50705.37,2229.52,23944.02,9.77
295891.24,5443373.67,4048.38,10.12
2248.96,2229.52,1156.15,8.79
2248.96,2229.52,5711.53,8.34
449036.15,2229.52,1156.15,9.28
1027494.16,2229.52,1156.15,9.00
2248.96,2229.52,51772.51,9.73
2236923.12,1319664.06,8187.64,9.78
441167.56,10690354.81,1324777.02,10.31
2248.96,2229.52,1156.15,9.33
2248.96,2229.52,1156.15,9.36
2248.96,2229.52,1156.15,8.60
2248.96,2229.52,19145.98,8.92
2248.96,2229.52,1156.15,8.57
2248.96,2229.52,1156.15,7.22
2248.96,2229.52,16267.17,8.67
1195627.30,2229.52,1156.15,8.19
547470.81,289923.02,1156.15,8.03
36709.70,2229.52,1156.15,7.09
1396430.24,3189992.95,1678284.02,10.78
262571.27,1109890.61,2494.15,8.33
2248.96,2229.52,1156.15,8.55
2757259.30,630769.15,8398.21,8.23
1951321.29,4719447.93,1390.85,9.59
2248.96,2229.52,1156.15,8.50
60723.04,2229.52,9549.96,8.73
166274.45,1499716.64,1156.15,7.87
10689.10,2229.52,1156.15,8.22
2598709.69,11218658.49,99202.97,7.37
1804036.44,6318397.92,77670.32,9.27
294118.55,2946150.14,15367.31,7.52
2248.96,44783.76,1156.15,8.22
14437.36,46889.16,1156.15,10.21
60686.29,8685.59,8588.36,8.21
461765.00,54499958.39,840221.29,10.02
3313180.13,5984664.54,1156.15,10.85
2248.96,2229.52,1156.15,9.87
38449.80,44629.18,28729.02,8.75
26483.12,40522.77,1156.15,7.52
76438.15,55298.33,1156.15,7.59
30431.62,48951.10,10495.25,9.79
7870171.94,2576201.27,29874.43,9.08
1100716.79,848498.12,7372.06,7.56
556320.98,2246991.68,1156.15,9.74
184826.98,2229.52,1156.15,10.60
40494.78,38317.92,18175.32,8.18
6232.56,430183.70,19974.75,8.51
2248.96,2229.52,1156.15,9.33
14680.75,2229.52,18186.38,8.99
1747511.19,3245161.97,79569.29,9.24
14157056.49,8197398.60,44469.50,9.91
85581.22,906680.52,15990.70,8.73
2248.96,4480.31,15306.86,8.53
853298.01,713222.00,1156.15,8.96
2248.96,2422.53,1156.15,9.13
777077.38,1789102.01,39711.04,10.16
2046515.60,13642623.53,14976.64,10.11
1386850.05,6124170.14,28789.96,9.82
76733.12,2229.52,13388.38,9.90
2248.96,2229.52,50812.91,9.14
16688.17,2229.52,9549.95,9.15
507622.96,5411887.20,881134.76,8.66
2637544.04,7826490.03,863123.86,7.83
66704.42,2229.52,44095.70,9.42
96734.03,2229.52,35459.28,9.57
60712.65,2229.52,24903.62,9.11
2149304.51,14829671.00,764063.46,9.83
46717.13,2229.52,1873.13,7.82
2248.96,904696.93,4476.07,9.15
59748.76,173926.06,1156.15,6.96
2248.96,307423.42,1156.15,9.83
44686.34,2229.52,45055.30,8.98
10166165.57,9209752.98,19210.40,10.46
2248.96,2229.52,1156.15,9.38
2248.96,2229.52,1156.15,9.78
8687.51,2229.52,1156.15,8.40
3115568.76,2729338.59,20231.60,10.14
5749822.38,25148262.67,29692.28,10.00
38408.77,404771.21,11346.10,10.15
2554906.52,7328165.32,25543.14,9.73
483852.18,6523199.77,47860.04,8.17
4934910.23,18176370.37,55813.37,9.57
2248.96,550825.79,42008.73,9.04
670849.09,3221125.89,12404.46,9.56
2248.96,438736.09,2699.29,8.92
2248.96,2229.52,15307.57,8.57
2248.96,2229.52,16267.17,8.30
6591833.32,6671775.99,8470.92,10.15
2248.96,2229.52,1156.15,9.90
2248.96,2229.52,1156.15,7.59
991465.59,2229.52,1156.15,9.67
2248.96,1252078.93,1156.15,8.85
73147.77,277571.17,30577.03,10.28
36700.77,2229.52,14347.98,10.30
16506.17,31951.37,26813.69,9.18
2248.96,2229.52,1156.15,9.60
281346.93,2029112.02,1156.15,8.06
898588.05,7158381.07,3524.18,8.66
1146272.46,26114062.83,637785.09,9.44
2248.96,2229.52,15307.57,9.28
24582.66,21414.23,12422.88,8.62
50520.37,34030.75,27772.66,8.01
14692.27,2229.52,1156.15,7.98
80392.98,63766.51,1156.15,9.98
8687.51,2229.52,1156.15,9.84
2248.96,2229.52,1156.15,8.22
32661.51,8697.72,12426.76,8.85
2248.96,13001.60,3789.02,8.84
20689.39,2229.52,12428.76,7.97
354961.67,2229.52,1156.15,8.13
242856.93,5614899.54,25107.21,6.39
2248.96,2229.52,1156.15,9.50
2248.96,4540.59,1156.15,8.99
856402.27,1217160.30,37007.05,7.33
2248.96,1698983.41,1156.15,8.57
12957728.24,5407376.75,460830.22,9.10
332811.68,4583338.15,20624.51,8.80
159823.63,525420.53,1156.15,8.94
234760.02,370699.19,7518.10,9.68
2229125.23,1982543.86,26217.48,8.28
84465.22,42255.87,77669.48,10.63
585715.45,2003276.78,26211.14,7.99
1637289.83,21373078.51,1204440.21,9.50
2248.96,2229.52,11469.15,8.56
309883.09,182046.93,23889.01,8.19
4622.78,13010.35,1156.15,8.64
7080487.45,25546550.55,186945.37,10.89
2248.96,2229.52,28742.02,9.41
2248.96,2229.52,1156.15,8.97
2248.96,2229.52,1156.15,8.60
12690.68,2229.52,1156.15,9.59
2248.96,2229.52,1156.15,8.37
2248.96,2787539.81,31729.04,8.49
1077498.89,2229.52,52732.45,10.21
2248.96,2229.52,25863.21,8.62
1334428.63,1983526.89,8944.33,8.52
2248.96,2229.52,1156.15,10.79
2853138.26,2767697.75,27896.69,10.99
135032.92,307193.67,22891.15,10.70
1809228.66,10607361.32,592625.55,9.88
32486.49,38313.80,21054.13,10.94
7925065.72,42069245.95,29318.24,10.80
52693.32,2229.52,44095.70,10.15
2248.96,2229.52,13388.36,7.70
699233.73,2229.52,1873.33,7.76
127995.59,841018.72,6414.74,10.33
2248.96,2229.52,9549.94,8.93
634837.21,412665.77,4626.47,9.25
70733.56,2229.52,5711.55,7.11
2248.96,2229.52,1156.15,10.09
2248.96,17248.96,1156.15,10.08
1928732.44,1311536.83,1156.15,10.91
13305048.08,21065533.94,12707.76,9.98
1349499.03,1096044.74,10175.20,8.46
9890.32,140011.32,19103.84,11.11
1462229.20,2387980.21,1156.15,9.41
34796.11,686450.94,17017.61,10.14
1967395.74,2603496.30,2997.21,8.64
483520.07,25831891.26,409485.94,9.77
662084.67,1552590.58,397715.08,9.41
22678.64,2229.52,30661.24,9.25
36694.28,2229.52,23944.01,9.01
2248.96,2229.52,1156.15,10.63
2248.96,2229.52,1156.15,9.22
28703.36,2229.52,1156.15,8.68
3067868.04,918539.78,1156.15,9.67
40700.05,2229.52,20105.60,10.63
1366598.15,4415050.49,1156.15,9.18
20697.02,2229.52,1156.15,8.68
1004091.48,3737116.84,123560.64,8.08
1044685.52,145390.25,1156.15,8.36
2342382.96,6341483.86,1156.15,8.32
671184.29,14741247.99,1156.15,9.55
1683456.91,98143.86,1156.15,7.38
2137182.92,1612088.02,1156.15,8.19
15745.78,519212.86,1156.15,10.02
58677.17,10834.29,1870.48,10.00
28703.36,2229.52,1156.15,7.08
52722.37,2229.52,1156.15,9.05
1060978.85,11955340.76,559587.04,9.66
265301.58,101560944.16,861341.90,9.89
80744.56,2229.52,1156.15,9.57
66733.47,2229.52,1156.15,8.90
2682.76,2229.52,1156.15,8.05
72738.22,2229.52,1156.15,6.96
2682.76,2229.52,1156.15,9.08
50720.79,2229.52,1156.15,8.95
110743.83,2229.52,37378.49,9.95
298559.56,1465612.76,19658.26,8.02
59658.89,186525.11,26766.45,8.05
489267.28,317513.78,1776.74,7.34
48708.34,2229.52,17226.79,8.78
486073.19,1228281.30,1156.15,8.12
2248.96,2229.52,1156.15,9.68
30704.94,2229.52,1156.15,7.16
142140.01,116654.98,1156.15,8.18
12690.68,2229.52,1156.15,8.03
46717.62,2229.52,1156.15,9.95
50720.79,2229.52,1156.15,10.73
32695.16,2327.19,16267.12,8.59
16693.85,2229.52,1156.15,7.85
249966.39,1565291.12,1156.15,7.81
64380.31,63782.79,1156.15,7.73
117073.01,1002025.10,1156.15,8.12
2248.96,161163.74,27733.80,8.47
2248.96,2229.52,19145.98,9.50
18500.95,36294.78,1156.15,10.87
1198167.08,257490.85,1156.15,10.04
1115858.33,13121304.40,1297164.97,8.11
2248.96,2229.52,1156.15,6.57
2248.96,2229.52,1156.15,8.70
1463483.93,4273042.91,1156.15,10.38
2248.96,2229.52,1156.15,10.17
855875.25,963149.22,1156.15,7.81
2115122.23,5475310.94,28028.69,7.83
2248.96,2229.52,1156.15,8.40
52425.16,2156326.51,24245.15,8.64
2248.96,2229.52,1873.11,8.20
2248.96,2229.52,1156.15,8.80
2501607.73,522599.68,104391.53,8.71
1233700.21,344294.75,1156.15,8.21
2248.96,2229.52,1156.15,9.75
2248.96,2229.52,1156.15,6.66
31556.36,1256277.89,1156.15,8.38
98758.82,2229.52,1156.15,7.73
86639.41,21399.17,1156.15,9.20
1088738.13,4347388.99,38929.07,9.45
2248.96,2229.52,29701.62,9.64
304356.03,448918.59,25726.64,7.91
65917.28,1548533.87,1156.15,7.95
199170.95,4500833.44,29286.15,7.23
2248.96,2229.52,4751.93,8.59
2248.96,2229.52,4751.93,9.52
4403211.90,6789078.97,340457.57,9.97
7462943.38,3087089.81,23960.66,7.28
2248.96,2229.52,10509.55,8.38
329990.21,870489.63,1156.15,10.90
2248.96,1362217.60,1156.15,9.85
2248.96,55342.40,8574.09,10.44
2248.96,2229.52,1156.15,8.34
2248.96,2229.52,1156.15,7.70
76377.73,65888.64,1156.15,8.71
136755.35,2229.52,50812.95,9.38
33244.80,258674.98,1156.15,8.22
46689.22,2229.52,43136.09,8.42
78729.51,2229.52,21065.21,8.37
6636.11,6499.84,37377.10,8.34
2248.96,428152.92,1156.15,9.83
24687.37,2229.52,20105.59,10.57
49153.82,275559.26,11385.59,10.69
92463.79,398210.85,46853.40,8.39
66302.56,72057.84,46953.09,9.22
1272205.30,90730466.67,335911.35,8.31
15303.04,245984.92,1156.15,7.05
2248.96,195142.64,6612.16,8.72
52482.06,42554.10,15295.22,8.84
135216.87,277633.78,1156.15,10.16
2248.96,1506246.33,1156.15,7.80
28690.13,4513.68,1156.15,7.96
5294407.54,3584958.37,14212.45,9.19
6685.93,2229.52,1156.15,7.32
32638.64,12942.02,10506.26,8.16
110358.62,1476447.45,7180.12,7.40
2248.96,226937.06,1156.15,8.61
2682.27,2229.52,1873.11,8.06
58708.47,2229.52,28742.04,8.82
40413.33,46581.71,67112.53,7.94
7423625.82,7170687.84,32308.49,8.51
4181232.92,2234795.00,9827.13,8.63
46588.66,23514.00,11462.63,8.04
2499571.57,12036007.74,670876.29,10.03
294429.62,86847.49,1156.15,8.72
338198.64,133400.08,1156.15,7.58
2248.96,2229.52,11469.15,10.03
125502.29,927884.81,1156.15,9.43
32257.14,80752.69,2808.71,8.24
284827.46,364240.99,19994.91,8.26
2767065.61,12204550.41,321529.43,7.95
2248.96,2229.52,1156.15,7.59
122240.62,447090.92,1156.15,9.70
242028.58,499888.72,8438.21,8.64
2248.96,2229.52,10509.55,10.10
2248.96,2229.52,7630.74,8.49
435554.05,4818345.81,18633.47,7.84
28496121.08,60480799.19,239601.16,8.55
1218934.88,1864538.85,125092.62,8.54
2248.96,2229.52,1156.15,9.04
1089542.15,2229.52,2833.06,8.51
2248.96,353956.39,16159.64,9.00
501077.36,2229.52,1156.15,8.37
88583.65,14993849.64,1000075.51,10.27
768034.29,3720620.94,74625.95,8.32
2248.96,930133.56,1156.15,7.83
950539.27,3314035.60,12376.06,9.42
442909.02,2796648.04,270667.30,9.31
234848.14,1041589.28,132061.37,9.12
216391.58,1478212.34,64755.74,8.96
11416448.58,13192566.17,10316.19,9.28
18472.40,40503.33,7619.03,9.67
2371.89,55325.60,12412.51,7.74
6685.93,2229.52,1156.15,7.79
2248.96,29957.33,1156.15,6.38
2445719.34,7173771.91,1156.15,10.06
2248.96,2229.52,1156.15,8.37
2248.96,2229.52,1156.15,7.68
2248.96,601834.00,1156.15,7.65
2248.96,2229.52,1156.15,6.34
6546.18,25680.93,9542.76,8.91
44603.70,21426.58,4746.05,7.20
2248.96,2229.52,1156.15,9.66
2248.96,2229.52,1156.15,7.51
2248.96,23591.91,3785.79,8.22
30417.12,754301.42,1156.15,10.28
2248.96,2229.52,1156.15,7.46
2248.96,2229.52,1873.11,6.53
181292.56,1731527.67,5244612.99,7.57
1550134.17,2065947.29,1156.15,8.10
56019.15,476810.93,1156.15,9.79
68158.33,101855.81,12398.29,7.84
362552.92,74050.54,5689.57,8.23
28702.23,2229.52,2832.73,10.41
1807173.72,9279521.51,54694.37,9.19
2248.96,1016974.05,1156.15,8.63
2248.96,2229.52,10509.55,8.54
1958362.80,23812948.48,161565.99,9.91
2248.96,21359.41,30655.34,8.96
26701.78,2229.52,1156.15,7.87
2248.96,178221.64,1156.15,6.23
32705.39,2391.55,1156.15,10.35
219517.00,586759.76,6492.46,8.77
3819911.46,11858515.92,256382.21,10.47
2248.96,2229.52,1156.15,8.23
324686.15,7408750.86,37033.74,8.64
7064481.58,69409619.62,87173.97,9.83
1389402.43,15309907.59,1573821.15,10.17
8687.51,2229.52,1156.15,6.81
42689.14,6617.50,1156.15,9.42
40323.25,70150.15,3771.56,7.01
58757.87,347607.10,1156.15,8.16
4298.71,771265.23,2597.65,10.07
2343362.68,1258164.13,1156.15,8.24
1207422.89,7405898.11,1156.15,9.19
2248.96,74376.34,15285.50,8.68
68715.74,2229.52,29701.65,7.86
16193.43,82641.79,60384.29,10.21
18368.34,55207.14,36402.61,9.10
2248.96,2229.52,11469.15,9.21
1970561.10,7305362.75,48580.57,9.23
2248.96,10744.57,36416.20,7.92
2248.96,2229.52,36418.85,8.92
631818.62,942196.48,1156.15,8.94
2248.96,2229.52,1156.15,9.19
2248.96,839056.90,1156.15,8.39
762700.98,1155975.22,3439.66,8.02
30135.85,101942.48,1156.15,10.05
2248.96,324367.89,1156.15,8.34
2248.96,2229.52,1156.15,6.92
650370.68,2244546.03,54925.47,8.65
98744.05,2229.52,22984.43,7.83
63554.21,559407.17,1156.15,9.84
58000.94,129448.81,1156.15,9.25
32234.11,84995.96,1156.15,7.38
56422.30,55318.68,1156.15,8.25
2248.96,2229.52,1156.15,7.38
2248.96,2229.52,1156.15,6.99
90292.15,82818.89,1156.15,8.22
48318.81,72268.25,1851.70,8.95
72426.70,55250.30,13372.14,9.42
2248.96,32075.39,1156.15,9.99
2699656.38,13885611.94,1156.15,9.43
2036026.61,1079886.93,158918.54,9.51
11191.11,265051.54,1156.15,7.69
2248.96,82819.98,22000.13,7.47
58722.10,2229.52,8590.36,8.03
52298.29,76503.37,1156.15,8.80
2248.96,163395.21,1156.15,8.96
2248.96,36296.19,4741.51,9.53
2077537.77,1148963.60,341221.93,9.39
43260.43,608142.92,1156.15,9.68
222662.59,36087.25,1156.15,9.27
2248.96,23603.14,1156.15,9.01
2248.96,2422.53,1156.15,7.95
62161.21,101909.93,1156.15,8.11
185689.48,199125.73,21964.58,8.45
46208.95,91335.90,1156.15,7.89
28255.11,80763.90,1156.15,6.84
88568.50,34105.51,1156.15,8.10
6100.37,455681.18,1156.15,7.65
6671.10,1406632.61,12959.07,10.02
968599.18,15232211.31,25046.40,8.32
44094.62,108181.28,24871.19,8.32
2248.96,13012.83,1156.15,9.01
4683.20,2420.04,1156.15,8.29
2248.96,25697.71,6663.95,8.50
40226.50,6051532.93,1156.15,8.95
816529.04,141386.06,1156.15,7.74
6377.00,55333.79,9533.70,8.00
78615.32,23489.62,9543.43,6.48
58714.96,2229.52,19146.00,7.05
2248.96,19367.02,1156.15,9.01
90287.52,80595.59,25839.22,8.11
4308.59,68079.95,1156.15,7.02
46643.49,15082.62,1869.18,8.79
321224.61,1353377.99,9136.94,8.82
72363.03,65820.17,18166.92,7.87
14170.37,93479.37,2804.82,8.36
2248.96,29957.33,1156.15,8.43
596824.18,2865401.59,4836.37,7.57
8505.84,383621.11,11352.56,8.46
717628.87,5197270.23,1156.15,7.72
1041950.02,3751356.97,252143.03,8.65
170500.55,57320.77,1156.15,9.09
74329.02,72176.41,17205.37,8.22
98379.74,65769.20,23924.55,7.83
4548671.64,6586767.64,66073.06,9.18
