EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
2181134.47,8802533.44,1557577.86
424744.99,2452876.11,427187.59
499058.64,50821066.45,3280655.44
120870.74,1038028.07,1156.15
113993.96,3972794.14,201216.42
2248.96,34193.45,1156.15
42617.71,4436851.2,1164515.6
2248.96,44764.35,5698.52
80217.48,93379.53,10481.67
208933.53,3494872.68,1156.15
2248.96,4540.59,1156.15
2277941.95,14096755.1,252819.28
745025.6,1090108.79,56237.94
2248.96,262944.11,1156.15
2248.96,40547.64,1156.15
458923.13,1741769.49,288262.58
2248.96,2229.52,24903.61
2248.96,2229.52,1156.15
763051.97,14043197.71,259552.86
893091.27,9060690.34,927999.6
410284.18,786288.44,356686.43
441059.29,1729570.02,173113.99
2248.96,2229.52,3792.32
50711.22,2229.52,15307.58
1118077.85,20851814.75,884092.24
290613.34,2509899.74,1156.15
971682.8,2906422.28,1721552.79
2018125.27,1729009.76,425489.64
168583.29,3178584.58,174590.3
60380.26,3793436.84,1049559.91
40912.14,293832.92,198502.51
353677.53,11388565.34,526174.2
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2069975.6,1061808.35,417057.15
2248.96,2229.52,1156.15
1204676.13,11557063.27,1539463
322563.23,7300475.82,1091670.11
41541.15,207833.37,1156.15
854943.8,4910717.64,608760.84
50614.23,722510.15,1156.15
6048.96,464133.99,5570.34
148093.56,793244.33,277996.87
2248.96,2229.52,1156.15
34708.12,2229.52,1156.15
2248.96,2229.52,23944
1255486.29,6658878.59,331860.94
62729.81,2229.52,1873.13
2248.96,627145.49,25672.16
11621846.24,27999612.5,509581.62
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
938649.69,13720895.9,798948
2248.96,2229.52,1156.15
240669.87,1780978.87,85774.45
332701.43,44447.6,1156.15
1138384.73,1564786.14,404428.6
2248.96,2229.52,1156.15
6680.25,2229.52,9549.95
2248.96,989436.18,1571.36
2248.96,2229.52,2832.72
2248.96,2229.52,1873.11
2248.96,2229.52,1156.15
2248.96,2229.52,9549.94
2248.96,2229.52,1156.15
80048.7,120840.77,27746.13
12672.67,2229.52,27782.42
30694.72,2229.52,16267.18
28779.71,2420366.94,197852.51
2248.96,2229.52,12428.76
32516.9,31922.83,29692.51
213442.03,10258451.5,1337383.77
603153.11,2229.52,8590.53
2248.96,2229.52,1156.15
708071.91,10870543.77,1721997.42
4864705.92,175294832,653601.13
52571.92,1423285.15,70530.13
986315.91,5103444.66,83799.3
2248.96,2229.52,1156.15
426416.64,8373547.12,1249676.49
4347731.85,11948561.1,372466.6
198838.06,2229.52,1156.15
66710.26,2229.52,35459.27
72735.14,2229.52,5711.55
713973.19,206517.25,149589.46
104757.9,2229.52,9549.98
2248.96,2229.52,18186.38
959072.58,13395950.04,7375.22
3043905.88,29980820.86,371752.91
2248.96,2229.52,22024.79
2248.96,2164277.91,161465.9
635176.57,2229.52,11469.35
3043.1,991550.77,1156.15
2248.96,2229.52,1156.15
2475633.59,863570.74,118681.35
2248.96,2229.52,45055.29
2248.96,2229.52,22024.79
2248.96,2229.52,23944
1672654.74,2189730.92,1242930.24
94625.02,2126614.6,28092.64
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
1220874.24,23918826.55,6309707.19
28703.36,2229.52,1156.15
2248.96,2229.52,1156.15
63255.1,258559.66,20986.81
16693.85,2229.52,1156.15
