EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
428594.76,3218783.81,122759.47
1309931.65,1009048.68,56262.71
237619.56,914785.57,65887.55
269796.52,895960.25,2559.54
3080988.54,11947095.68,24131.32
164329.95,788054.05,1156.15
244357.09,794326.87,1156.15
188506.38,756108.51,36188.37
173078.69,1008307.02,4444.4
844195.35,1607048.09,1156.15
264189.61,2931418.54,1156.15
582306.45,1539108.59,101202.02
119006.46,663135.23,1156.15
1544746.68,905261.67,1156.15
83110.86,639873.15,1156.15
5217456.03,3717656.33,206092.41
908307.87,1589818.86,52246.79
126319.63,1135452.83,1156.15
321066.47,2433583.35,8806.77
19986.25,828443.75,1156.15
58890.23,673734.47,13183.09
869821.57,7065958.01,1818160.89
2248.96,563689.47,5539.91
793839.11,1662153.26,4244.55
109104.76,637484.47,58295.49
1360693.21,1240100.58,1156.15
160487.62,3208748.16,56549.96
1247778.46,2604209.03,1499017.43
607791.8,3396955.33,20027.53
4189398.41,29570286.14,12027.41
896564.47,2527894,603731.51
9260685.82,15275621.84,286045.02
365709.57,79484140.57,5903124.49
4118139.93,5924443.63,22133.79
857284.08,3521711.71,9433.77
2364774.79,5216540.35,54976.65
96497.96,398401.94,1156.15
1394591.57,911768.46,1156.15
2321024.29,10763171.77,190504.45
2248.96,339129.98,16164.17
2248.96,724681.52,1156.15
50863.62,1029627.06,1156.15
327659.56,2663839.13,150757.57
79624.88,548785.27,4584.86
659722.43,260116.38,10430.71
23014.98,296782.69,7540.69
2106910.39,953381.9,6380.4
2066702.3,3791632.48,1156.15
16148.93,97720.61,1156.15
2248.96,87144.99,1156.15
996756.27,126376.52,1156.15
16771.4,1391845.14,1448.36
1021643.42,1723181.59,42610
5128901.69,15751084.27,38322.24
1057698.38,4523136.83,58067.41
68512.67,40456.55,6659.44
38516.79,36274.43,1156.15
16596.04,19352.32,1156.15
20466.28,42646.93,1156.15
2357.86,57431.39,15290.67
34069.51,811330.72,37131.1
924557.26,11025892.35,7140.05
38371.79,61691.18,1156.15
2248.96,74372.26,16245.1
60723.04,2229.52,9549.96
225520.07,1991043.93,1156.15
78706.95,2229.52,52732.08
2248.96,2229.52,1156.15
36899.43,2774890.31,5823.63
49662.02,514093,200354.39
5856460.67,15864613.59,560311.34
72284.04,78487.67,27759.07
5035306.25,3744135.74,1156.15
428644.57,67648.62,1156.15
2248.96,1086748.51,29370.09
2248.96,1042390.78,1156.15
56398.13,59554.8,1156.15
342526.95,76201.21,2810.1
5025562.55,10011406.21,9369.34
132523.33,1798257.98,32991.02
591700.37,605427.58,10325.16
2248.96,87144.99,1156.15
10600.28,17220.96,5706.94
36680.65,2229.52,44095.69
482252.33,143843.91,1156.15
56561.13,25474.74,46007.72
1730316.61,5879023.03,315786.08
2248.96,2229.52,1156.15
2248.96,176026.96,19092.84
2248.96,2229.52,1156.15
1615646.83,8769663.85,458842.88
576092.99,179576.51,43081.82
60697.48,4367.72,27781.73
384423.48,444474.39,55475.68
96526.41,40374.93,19134.3
2248.96,34193.45,1156.15
2248.96,190930.01,1156.15
7695.47,176097.03,1156.15
565959.68,908374.67,1156.15
243903.92,3274781.29,446128.43
2248.96,218412.72,13322.26
2671.24,2229.52,18186.38
1020712.47,7094801.67,480466.09
3252119.71,3002432.36,19188.52
26517.34,31961.63,22015.68
6459.4,38299.37,30650.16
2694113.22,6036512.78,405940.57
46670,8667.13,16265.18
1718981.28,1586999.38,23459.57
40712.87,2229.52,1156.15
2248.96,315851.71,11373.28
14521.95,32062.73,1156.15
2248.96,311659.53,1156.15
462389.1,1516213.98,34996.44
42467.9,44719.12,6658.14
2733704.06,1251389.76,6289.31
125937.14,148385.98,14303.27
349456.84,2370048.77,1156.15
952320.51,2301658.33,1156.15
2248.96,4525.27,4751.22
2248.96,2229.52,4751.93
2248.96,2229.52,12428.76
2248.96,137954.97,6629.64
76716.64,4516259.17,415041.68
2248.96,13005.69,2829.42
2248.96,80755.05,9525.93
134470.99,1110027.97,1156.15
2248.96,2229.52,1156.15
534454.6,465710.86,6529.46
2682.76,2229.52,1156.15
2248.96,8776.71,1156.15
38972.75,654626.9,28542.57
344361.64,2881556.04,250489.68
128443.1,61599.62,1156.15
1223035.21,2207993.82,46300.22
731027.8,1094595.18,1156.15
130756.51,351554.41,51665.67
48698.1,2249.6,30661.18
508745.54,5260976.93,507895.48
1261817.91,1722839.35,65640.56
66524.78,385586.15,33422.82
2248.96,2229.52,1156.15
3562496.25,3682051.49,9384.76
2248.96,2229.52,1156.15
64902.21,1726451.02,1156.15
2671.24,2229.52,18186.38
2248.96,44783.76,1156.15
2248.96,70200.5,1156.15
2248.96,373083.32,1156.15
904472.21,2968848.6,10562.36
2248.96,2229.52,1156.15
98192.39,95307.62,50784.39
12690.68,2229.52,1156.15
195547.58,4435210.4,21629.39
72467.25,46729,24889.97
14692.27,2229.52,1156.15
1665999.64,2229.52,1156.15
1137968.55,2713578.68,214076.14
7570.26,548873.83,1156.15
4543799.61,2537347.18,1156.15
287107.31,1018773.18,6360.41
13603.56,193035.42,1156.15
36535.65,32016.85,6662.02
64731.89,2229.52,1156.15
740371.12,1211078.46,1156.15
2248.96,2229.52,1156.15
327195.46,658687.53,1156.15
2248.96,32075.39,1156.15
2248.96,2229.52,1156.15
1375895.15,10152834.22,1156.15
77232.54,264915.94,17146.46
12447.86,44773.13,1156.15
2248.96,2229.52,1156.15
21585.73,197263.41,1156.15
2248.96,21485.08,1156.15
28690.54,2229.52,20105.6
5766.39,163390.68,1156.15
2248.96,2229.52,1156.15
38178.44,95580.16,1156.15
32524.12,34162.48,1156.15
527048.46,10361.26,1156.15
38287.11,74322.92,19123.92
16299.04,70141.87,11448.38
2248.96,25721.2,1156.15
2248.96,2229.52,19145.98
16126064.48,63302508.97,594751.25
76426.07,57416.39,1156.15
104760.5,2229.52,5711.56
390513.4,436227.98,1156.15
2248.96,19343.53,6665.89
2248.96,21485.08,1156.15
3918487.79,10048583.13,1156.15
263753.32,201253.33,1156.15
2248.96,2229.52,1156.15
819901.78,2005238.57,7018.49
12396.44,53225.97,5695.93
2248.96,2229.52,1156.15
977274.39,2485806.24,23184.84
50405.46,57442.84,1156.15
18597.62,19350.29,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
1106107.83,3762936.7,4562.03
2568276.05,16872806.23,349850.22
2248.96,2229.52,1156.15
203287.14,4422551.96,505272.95
18508.4,31953.42,25854.09
48594.14,23536.49,5705.01
3582775.14,11004155.83,1156.15
14692.27,2229.52,1156.15
2248.96,2229.52,10509.55
10689.1,2229.52,1156.15
38500.33,38364.92,7619.68
2248.96,2229.52,1156.15
2248.96,3524702.88,13271.27
14671.01,2229.52,32580.44
388002.12,2628335.03,18343.26
14594.45,19354.36,1156.15
426547.43,1126308.53,86934.15
240795.79,8434098.88,6972.65
2248.96,2229.52,1156.15
20578.37,724658.69,1156.15
2248.96,900465.34,4477.36
2164394.21,2229.52,1156.15
15593.06,195151.44,1156.15
2248.96,2229.52,1156.15
1537460.91,3933994.99,19863.38
2248.96,2229.52,1156.15
1140664.92,162237.08,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
174313.7,792280.06,1156.15
2248.96,2229.52,1156.15
784728.13,5364528.03,1156.15
261159.61,305040.38,1156.15
4809374.41,10712572.94,38902.7
752205.02,3697656.42,1156.15
8497153.97,37547915.39,225499.55
1533031.7,8194685.12,213360.39
14692.27,2229.52,1156.15
164811.13,2229.52,1156.15
15585.12,175354.21,173589.05
224039.61,144054.27,13344.99
2248.96,2229.52,1156.15
26973.71,305275.37,1780.48
232540.62,3532310.29,3139654.12
599739.62,11813703.36,108617.12
2248.96,2229.52,3792.32
2078617.73,51763812.37,864088.06
1607174.82,487942.49,1156.15
2248.96,2229.52,7630.74
435845.08,207380.45,13325.64
2248.96,2229.52,7630.74
1412000.58,2070323.72,1156.15
2248.96,2229.52,1156.15
2005174.43,6502648.05,34431.89
2248.96,2229.52,6671.13
2248.96,2229.52,14347.96
2228430.24,2229.52,22985.09
5032323.6,9517529.78,94924.93
2248.96,2229.52,1156.15
2248.96,2229.52,13388.36
2248.96,36283.93,7620.32
2102421.28,9769444.66,328031.37
2248.96,2229.52,37378.46
10663.29,2229.52,39297.67
613040.16,1042722,273122.61
46699.61,2229.52,27782.43
2248.96,2229.52,1156.15
26701.78,2229.52,1156.15
1920074.67,4212587.45,160839.81
2248.96,2229.52,31620.83
134123.12,463832.11,45873.74
10671.73,2229.52,26822.82
48698.6,2229.52,31620.85
6485.51,34075.51,27772.65
797305.57,2229.52,10509.8
11204346.13,50012753.13,46082.28
2248.96,2229.52,11469.15
643400.72,5917078.8,94106.23
38445.6,1798333.17,37789.01
12690.68,2229.52,1156.15
36695.58,2229.52,22024.81
2248.96,2229.52,1156.15
2248.96,2229.52,19145.98
1393813.85,1398920.62,1156.15
2248.96,553118.57,1156.15
2248.96,63846.31,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,652667.45,1156.15
2248.96,186693.9,1156.15
1235341.79,6020665.31,1156.15
2248.96,2229.52,1156.15
1827116.01,5437507.2,21323.02
1170029.47,1329216.62,9144.33
2248.96,2229.52,1156.15
2248.96,3318014.03,301215.24
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
8979.72,652656.83,1156.15
87908.46,3658088.62,1156.15
2248.96,2229.52,1156.15
430279.26,482784.63,1156.15
2248.96,2229.52,1156.15
267593.03,3035151.58,11501.7
4053.79,1165229.78,1156.15
1005327.28,2114599.91,145167.84
94379.91,67988.4,1156.15
309579.95,588809.79,1156.15
132589.59,737221.48,8365.67
2248.96,2229.52,1156.15
38012.77,1153796.63,190562.83
2248.96,2229.52,1156.15
124077.4,125145.54,1156.15
2248.96,417562.61,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
770120.34,30925121.82,6962014.69
27113.52,279825.94,9465.08
2248.96,2229.52,11469.15
50719.66,2229.52,2832.73
110735.39,2229.52,49853.34
1665003.17,523813.9,18986.53
1097941.33,968694.22,133043.26
80545.84,31816.77,43126.98
158533.87,400449.77,2710.99
289073.29,1025129.43,5398.86
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,43136.08
1202375.45,2324638.49,15557.28
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
925431.99,348844.22,1156.15
2248.96,2229.52,1156.15
3153319,2079143.94,1156.15
47580.3,550890.95,15139.84
34689.45,2229.52,28742.03
2248.96,76527.11,7608.02
2626.95,10854.48,10506.9
19410.98,224699.09,24835.57
455011.98,1390729.25,158823.53
2248.96,19367.02,1156.15
48719.21,2229.52,1156.15
2248.96,173966.11,5659.03
1841062.77,4397575.84,11085.26
1209128.49,12016829.99,11635.17
445129.66,3031165.24,904892.89
2248.96,2229.52,5711.53
54465.47,42437.62,42164.13
52329.9,39401.95,258075.65
2248.96,44694.87,22011.79
2248.96,451399.49,13251.05
16689.63,2388.42,5711.47
8687.51,2229.52,1156.15
20314.29,68019.74,11449.03
82735.92,2229.52,16267.2
654528.33,116024.8,26788
24564.74,23495.51,21058.66
1298209.51,1663652.37,29193.76
30699.42,2366.01,7630.68
1041467.42,17136350,501386.86
42519.97,36270.36,1156.15
36495.5,38346.51,12417.7
64452.33,51071.36,1858.18
70227.35,4867032.66,1106807.9
2248.96,2229.52,5711.53
2248.96,2229.52,1156.15
66393.97,61662.69,1156.15
30236.98,82831.91,12404.1
1891531.63,1514830.78,18683.62
1379299.99,2160453.08,230558.45
42613.31,17110.75,23939.42
34163.5,93315.97,36390.96
1708934.79,8581941.42,252585.72
2221448.93,3307747.5,190864.06
5112428.08,57578257.13,44729.41
24681.53,2229.52,28742.03
2248.96,2229.52,17226.78
2682.76,2229.52,1156.15
2248.96,46829.28,18172.72
28703.36,2229.52,1156.15
2248.96,49019.88,1156.15
2248.96,2088432.31,66488.42
273941.47,1222142.83,1156.15
844072.49,3733569.93,1156.15
2248.96,2229.52,1156.15
253308.94,2233657.29,1214128.71
32423.22,46692.04,43122.43
96133.88,108116.12,27750.02
28388.03,57465.22,1156.15
5623.25,186625.01,16210.79
72368.63,63661.24,27763.6
149686.66,197130.14,1813.54
2248.96,332796.21,11368.1
2248.96,375201.38,1156.15
330022.18,9220261.38,3379735.58
112546.88,40407.7,7619.06
862372.38,1570754.08,63767.84
58070.36,116721.03,5676.53
16160.45,3240465.29,103560.79
2503013.73,1692201.98,1156.15
235487.31,4080772.81,181991.35
14437.36,46889.16,1156.15
70317.41,72127.34,29680.22
2248.96,1184179.31,29340.31
159014,667330.65,1156.15
2248.96,2229.52,1156.15
82477.37,48926.81,3778.04
382397.27,1507969.26,1156.15
586418.97,7488872.79,60039.71
2248.96,2229.52,1156.15
58216.17,86921.02,40231.33
902647.82,2172370.48,529950.81
3213351.25,5239212.84,1156.15
8671.45,2229.52,24903.61
1020043.11,5492640.48,198832.65
812753.63,6065573.79,1156.15
46559.38,29912.11,1156.15
595673.3,2013922.31,10854.24
2106933.71,935975.52,114820.81
2248.96,1955275.33,1156.15
901605.73,664405.7,13185.94
4128.54,97664.36,17197.58
2248.96,61582.14,35441.06
721921.81,1287346.89,1156.15
2872968.4,9451747.06,141965.56
46717.62,2229.52,1156.15
4562.36,23600.65,1156.15
2248.96,2229.52,1156.15
148977.96,8741345.14,1156.15
2248.96,2229.52,1156.15
2248.96,25721.2,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
779341.87,2784190.36,131528.73
20675.11,2229.52,33540.05
2248.96,2229.52,18186.38
518582.2,1139139.9,36071.3
44287.58,428107.71,1156.15
1563439.51,8498229.9,50135.17
78286.62,432285.73,6539.67
42710.07,2229.52,7630.75
60679.24,10835.32,1156.15
32638.64,12942.02,10506.26
422987.94,2229.52,40257.34
371679.87,3626419.85,902791.77
2682.27,2229.52,1873.11
6216998.32,19738646.88,2930305.1
21997.8,123062.78,17189.82
1034656.52,5760277,16426.35
56168.54,99797.98,1156.15
2248.96,46812.93,22011.14
78158.22,99600.87,42146.66
340141.28,2244963.57,30935.28
2248.96,1576135.75,1156.15
1615282.17,119393.66,1156.15
207549.89,3694604.86,349080.22
1406776.32,515158.59,123585.86
20526.7,32056.62,1156.15
31170.62,269190.69,19064.36
1035805.43,3805336.44,12225.89
5241253.58,57409351.66,385439.97
898523.82,1907755.93,1156.15
20451.51,42553.95,22972.04
95698.85,184366.33,27726.71
2248.96,2366.33,14347.9
36079.85,108136.28,37346.04
32013.91,120910.03,22948.09
44693.48,2229.52,34499.66
2248.96,2229.52,1156.15
45955.18,135815.19,1156.15
6104410.41,5098507.92,21426.64
836260.46,532887.32,75600.31
202841.23,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2711461.72,5781609.74,574908.53
975720.48,5552310,123965.41
2248.96,15130.9,1156.15
6303156.8,4280288.98,127233.02
1702750.04,2242810.48,708415.37
2248.96,2229.52,1156.15
2248.96,135860.41,1156.15
2248.96,2229.52,1156.15
911081.51,7056096.76,145576.63
2248.96,2229.52,26822.81
473947.56,2299986.8,9807.2
2248.96,485340.57,1156.15
2248.96,2229.52,1156.15
6571086.35,23290051.98,1156.15
4667518.38,11345172.45,236387.48
735057.74,7052616.21,10273.72
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,4751.93
2248.96,260749.43,19066.94
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,10509.55
2248.96,2229.52,1156.15
2248.96,2229.52,8590.34
10270414.79,13344611.61,390272.35
2248.96,2229.52,23944
2248.96,2229.52,1156.15
601822.53,3028007.8,117060.17
2248.96,2229.52,1156.15
982117.02,4095615.95,1156.15
478076.26,2274443.32,38603.09
2248.96,2229.52,3792.32
10739.63,695016.03,1156.15
2248.96,2229.52,1156.15
3104620.32,33633403.85,1099934.43
1392981.74,140776.61,6628.78
2248.96,2229.52,1156.15
2248.96,2229.52,14347.96
150774.87,2229.52,38338.11
3009333.18,10123561.33,17011.88
2248.96,2229.52,17226.78
808847.46,7083760.07,139810.55
698626.48,12379326.22,60464.1
5636516.87,13077433.71,75604.36
2248.96,2229.52,42176.47
2248.96,2229.52,22984.4
2248.96,2229.52,28742.02
2248.96,144332.66,1156.15
6677873.77,3862913.93,65946.03
2248.96,2229.52,6671.13
2248.96,2229.52,1156.15
2487380.44,14227997.05,221112.28
2248.96,2229.52,3792.32
2248.96,2229.52,1156.15
675215.21,2229.52,1156.15
444496.41,95143.65,6642.72
2248.96,2229.52,34499.64
6096997.86,11596605.8,536666.21
80223.81,93419.37,1156.15
2248.96,2229.52,5711.53
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,5711.53
186815.09,2229.52,21065.25
1184862.41,6088160.35,77740.7
2248.96,2229.52,1156.15
2879668.72,23349926.53,244233.33
2248.96,2229.52,9549.94
396237.65,73967188.52,7256891.12
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
633833.02,181979.75,459548.62
468799.37,1800172.2,1156.15
2248.96,2229.52,1156.15
