EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
452123.12,864011.32,1156.15
1572845.77,540928.62,1156.15
315488.02,605748.19,1156.15
331500.72,605731.92,1156.15
357882.84,537769.1,38174.32
740958.66,755640.97,14117.66
291695.54,565509.99,5539.35
259467.84,601569.05,1156.15
4215822.07,2137369.39,1156.15
930501.89,863525.05,1156.15
227575.4,578302.9,1156.15
217966.25,508417.05,1156.15
245676.76,561279.83,15136.67
522914.17,10907681.24,9095.39
269761.4,902321.59,1156.15
227297.46,627018.33,1156.15
203485.73,588853.25,16087.84
759767.34,618004.84,1156.15
219798.66,538067.86,1156.15
192126.91,476672.58,1156.15
189267.36,627056.99,1156.15
1487686.21,2135906.34,1156.15
1731115.83,17004366.06,1156.15
2769545.82,10757182.14,1156.15
822529.42,492976.16,1156.15
220463.29,421574.46,1156.15
17763187.32,14641270.74,1156.15
224147.24,476608.36,8445.33
289927.85,523101.77,17067.54
185481.71,588935.93,1156.15
1259311.85,14799955.77,1156.15
228041.65,495666.82,8439.51
221703.57,555010.33,1156.15
201603.13,569857.13,1156.15
836703.22,2920246.34,1156.15
877916.87,958890.73,1156.15
9949020.16,15345999.43,8698.37
142292.73,440716.37,1156.15
2416087.52,785606.77,38098.56
3482579.94,7867438.38,1156.15
870166.37,1263862,9164.3
77976.16,487378.86,1156.15
218791.31,1065463.19,1156.15
191643.21,557004.62,37208.84
194294.59,446998.27,5575.57
735301.23,696397.6,1156.15
140665.75,375058.5,1156.15
474503.06,800447.09,1156.15
38306.99,423877.7,1156.15
120154.36,459724.69,19006.12
180322.34,440674.66,1739.1
512230.43,1552215.04,24429.81
842905.68,4633526.22,50356.84
124952.66,671536.98,16062.57
603939.77,1261838.76,50427.83
108268.94,438576.72,14214.57
129966.75,491395.52,40107.7
194342.03,436326.21,24770.89
2581863.46,7160697.44,52463.2
298242.47,2223911.51,10790.06
602333.33,844686.87,26565.27
124583.72,385608.9,14230.76
156072.18,478738.37,21879.12
80847.8,334876.36,1156.15
1337669.61,4573933.87,1156.15
2382114.23,429967.43,1156.15
820358.86,4381717.05,1156.15
34968.45,307388.37,1156.15
684833.24,2174847.4,1156.15
2805520.46,6904304.78,24713.09
78995.69,307295.6,12335.49
1158774.41,3999961.67,38075.67
124788.25,347402.03,33434.49
76541.49,1088878.77,7298.58
118732.9,360254.46,1156.15
1293130.41,1504925.43,1156.15
116815.91,345430.05,1156.15
862160.21,2665977.89,18331.76
920116.52,28294392.72,1156.15
1913092.41,1595311.03,14820.61
10129623.24,25789917.95,5506.09
2244516.65,1391657.73,11044.44
78730.48,353897.03,11361.65
64624.19,722488.76,2612.56
174742.23,364365.15,17116.06
14140557.65,23002049.89,164692.65
2248.96,267180.24,1156.15
2248.96,1245724.66,1156.15
2248.96,286202.96,10422.73
15979.06,3632635.74,25713.11
2248.96,254471.86,1156.15
2248.96,245999.62,1156.15
