EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
350511.71,1130928.57,14962.55
793100.48,9861138.65,1156.15
369163.91,1020831.28,1156.15
338943.48,1052535.66,23622.93
413994.28,2986335.44,1156.15
774790.66,1492732.76,3336.73
420214.22,1194459.42,1156.15
379756.27,1266417.12,23557.56
344798.68,1077917.74,30332.39
385098.18,1031291.89,27467.84
3917806.32,15430549.79,1156.15
981742.41,4161275.76,1156.15
178143.33,1173524.99,1156.15
5050991.68,9414114.09,3794.29
470112.19,1920899.73,1156.15
187877.69,870634.08,1156.15
310300.62,813322.32,1156.15
260103.83,838713.28,18890.28
4947582.91,8592342.77,21318.32
214010.77,1198804.01,24537.83
848609.21,831781.36,14094.38
5839992.17,6183050.17,60438.85
211618.77,919325.1,1156.15
219870.77,1226410.31,6296.94
10262238.28,19386970.57,1156.15
178197.89,811274.15,16019.86
242428.01,781620.57,1156.15
138212.68,805025.01,1156.15
154293.87,790081.16,24662.76
8968772.45,15605409.91,5740.27
1659030.32,871256.69,1156.15
1467517.69,1811865.34,1156.15
166371.12,1482772.2,1156.15
176544.88,752034.81,1156.15
114362.84,775396.59,1156.15
1903714.84,2885106.48,39376.03
334139.94,1546131.91,3320.41
360228,1884989.21,4176.44
61761.39,1224476.45,1156.15
5449123.61,10498147.48,4422.55
7645315.63,8312233.29,1156.15
28729.72,699233.82,1156.15
4599383,5773601.67,15462.68
43200.01,618733.22,1156.15
746545.17,2581332.56,27953.66
44957.23,658881.43,22783.66
2124558.31,4526536.87,1156.15
578259.11,855334.29,18885.2
34610.22,1067622.35,35133.56
79903.48,2601040.04,35624.45
27786.91,510623.16,25707.78
390174.01,1548204.26,1156.15
2248.96,491694.77,1156.15
7775735.23,10010776.13,1156.15
108959.85,669484.29,4547.97
2248.96,591119.61,29521.59
2248.96,466234.12,11327.31
54826.78,679941.51,48686.49
15644.07,536125.66,8427.14
2248.96,485247.6,22836.73
2248.96,462041.9,1156.15
2248.96,476868.35,1156.15
428072.24,518793.73,1156.15
2248.96,603752.77,47750.17
65007.64,1705173.34,23423.45
2248.96,517111.5,1156.15
1580355.64,4836268.68,12870.38
2248.96,432341.01,12297.27
2248.96,387909.74,1156.15
6065256.37,1436440.17,22545.99
5992914.79,3236724.89,52702.99
1204640.87,7890841.37,20573.14
83400.88,589039.7,1156.15
2248.96,413315.27,3666.66
2248.96,853798.51,20804.87
2248.96,434410.05,23811.87
2248.96,398500.05,1156.15
2248.96,485280.29,15159.9
12008.46,472619.55,1156.15
2248.96,375201.38,1156.15
267469.8,953157.08,1156.15
2248.96,474750.26,1156.15
319599.14,5498438.16,1156.15
2248.96,368847.18,1156.15
2248.96,262944.11,1156.15
2248.96,330722.09,1156.15
2248.96,273534.42,1156.15
167157.63,292427.64,1156.15
2248.96,313716.85,15212.34
38705.77,353981.65,1156.15
