Id,BinCenters,BinCount_EYFP_MEFL,BinCount_mKate_MEFL,BinCount_EBFP2_MEFL
,446700000,0,0,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 2.0,11220,5200,1722,1026
,14130,6167,2098,2023
,17780,6694,2440,1981
,22390,6668,3521,2002
,28180,5796,3555,2780
,35480,4867,4255,3535
,44670,2905,4620,4022
,56230,1358,4950,4039
,70790,416,4360,4254
,89130,100,3146,3387
,112200,27,2318,3038
,141300,9,1807,2600
,177800,10,1730,2268
,223900,3,1961,2490
,281800,6,2238,2868
,354800,0,2579,3065
,446700,1,2906,3026
,562300,1,3042,3185
,707900,0,3333,3183
,891300,0,3393,3267
,1122000,0,3374,3233
,1413000,0,3367,3216
,1778000,0,3107,3173
,2239000,0,2855,3055
,2818000,0,2535,2882
,3548000,0,2065,2860
,4467000,0,1753,2639
,5623000,0,1390,2328
,7079000,0,1044,2117
,8913000,0,738,1828
,11220000,0,537,1512
,14130000,0,401,1291
,17780000,0,274,1059
,22390000,0,169,825
,28180000,0,112,674
,35480000,0,74,441
,44670000,0,53,333
,56230000,0,27,234
,70790000,0,10,135
,89130000,0,7,93
,112200000,0,1,59
,141300000,0,0,40
,177800000,0,0,27
,223900000,0,0,11
,281800000,0,0,4
,354800000,0,0,1
,446700000,0,0,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 5.0,11220,5916,2102,1263
,14130,7212,2558,2315
,17780,7881,2947,2496
,22390,7906,4132,2345
,28180,6863,4121,3549
,35480,5644,5124,4205
,44670,3450,5370,4793
,56230,1681,5681,4872
,70790,616,5089,5068
,89130,163,3670,4079
,112200,74,2722,3603
,141300,54,2067,2874
,177800,28,2056,2634
,223900,18,2240,2870
,281800,25,2572,3207
,354800,13,3067,3555
,446700,10,3352,3563
,562300,5,3568,3610
,707900,2,3929,3884
,891300,4,3867,3674
,1122000,3,3981,3610
,1413000,2,3930,3647
,1778000,1,3601,3750
,2239000,1,3255,3633
,2818000,0,2885,3433
,3548000,0,2514,3246
,4467000,0,2020,2904
,5623000,0,1726,2824
,7079000,0,1159,2527
,8913000,0,835,2260
,11220000,0,692,1842
,14130000,0,469,1612
,17780000,0,337,1311
,22390000,0,176,1016
,28180000,0,142,774
,35480000,0,84,583
,44670000,0,65,376
,56230000,0,27,255
,70790000,0,15,201
,89130000,0,10,124
,112200000,0,2,70
,141300000,0,0,47
,177800000,0,0,19
,223900000,0,0,21
,281800000,0,0,7
,354800000,0,0,1
,446700000,0,0,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 10.0,11220,5714,1881,1113
,14130,6880,2320,2127
,17780,7465,2852,2262
,22390,7356,3875,2199
,28180,6344,3684,3149
,35480,5274,4603,3942
,44670,3164,5017,4437
,56230,1628,5260,4490
,70790,605,4639,4799
,89130,237,3633,3744
,112200,112,2447,3263
,141300,110,1942,2796
,177800,67,1974,2451
,223900,62,2164,2656
,281800,48,2417,3142
,354800,26,2711,3386
,446700,17,3229,3404
,562300,14,3587,3600
,707900,15,3717,3492
,891300,8,3984,3482
,1122000,5,3880,3471
,1413000,3,3726,3506
,1778000,1,3511,3440
,2239000,2,2977,3346
,2818000,3,2738,3242
,3548000,0,2260,2998
,4467000,0,1807,2784
,5623000,0,1564,2548
,7079000,0,1184,2354
,8913000,0,862,2006
,11220000,0,603,1689
,14130000,0,431,1467
,17780000,0,329,1168
,22390000,0,182,843
,28180000,0,140,654
,35480000,0,70,484
,44670000,0,47,366
,56230000,0,39,261
,70790000,0,15,168
,89130000,0,4,96
,112200000,0,4,72
,141300000,0,0,51
,177800000,0,0,35
,223900000,0,0,13
,281800000,0,0,4
,354800000,0,0,4
,446700000,0,0,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 20.0,11220,5824,1951,1201
,14130,6911,2412,2195
,17780,7663,2852,2232
,22390,7413,3955,2262
,28180,6589,3975,3285
,35480,5635,4881,3995
,44670,3632,5297,4686
,56230,2003,5350,4827
,70790,996,4807,4917
,89130,591,3624,3847
,112200,462,2544,3388
,141300,371,1921,2814
,177800,291,1917,2458
,223900,226,2182,2687
,281800,199,2465,3126
,354800,135,2887,3457
,446700,101,3409,3605
,562300,76,3717,3643
,707900,57,3818,3551
,891300,36,3967,3688
,1122000,28,4126,3583
,1413000,21,3936,3619
,1778000,17,3696,3647
,2239000,14,3261,3500
,2818000,9,2923,3315
,3548000,5,2433,3103
,4467000,0,2005,2906
,5623000,3,1577,2696
,7079000,2,1219,2439
,8913000,1,874,2209
,11220000,0,603,1849
,14130000,0,441,1533
,17780000,0,307,1278
,22390000,1,184,1030
,28180000,1,122,807
,35480000,0,96,551
,44670000,0,46,409
,56230000,0,30,276
,70790000,0,13,204
,89130000,0,4,135
,112200000,0,1,72
,141300000,0,3,70
,177800000,0,0,29
,223900000,0,1,15
,281800000,0,0,4
,354800000,0,0,3
,446700000,0,0,0
,562300000,0,0,1
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 50.0,11220,4209,1511,883
,14130,5108,1919,1714
,17780,5740,2253,1711
,22390,5477,3200,1829
,28180,5048,3133,2511
,35480,4503,3837,3008
,44670,3227,4153,3515
,56230,1966,4241,3577
,70790,1364,3843,3667
,89130,1173,2838,2980
,112200,1111,2102,2599
,141300,972,1596,2243
,177800,951,1633,1939
,223900,877,1776,2152
,281800,813,2035,2556
,354800,701,2397,2889
,446700,535,2821,2765
,562300,458,3076,2791
,707900,376,3150,2765
,891300,238,3167,2832
,1122000,199,3337,2837
,1413000,147,3106,2831
,1778000,123,2885,2808
,2239000,103,2426,2670
,2818000,58,2058,2682
,3548000,47,1744,2422
,4467000,19,1386,2358
,5623000,24,1053,2106
,7079000,9,789,1986
,8913000,8,599,1741
,11220000,4,388,1562
,14130000,4,288,1316
,17780000,1,193,1004
,22390000,2,128,790
,28180000,0,85,671
,35480000,0,46,503
,44670000,0,19,360
,56230000,0,11,270
,70790000,0,6,171
,89130000,0,3,105
,112200000,0,0,82
,141300000,0,0,47
,177800000,0,0,29
,223900000,0,0,19
,281800000,0,0,9
,354800000,0,0,0
,446700000,0,0,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 100.0,11220,4190,1606,896
,14130,5129,2014,1843
,17780,5581,2382,1906
,22390,5607,3315,1815
,28180,5064,3320,2576
,35480,4784,4009,3265
,44670,3412,4342,3680
,56230,2422,4425,3807
,70790,1650,4040,3948
,89130,1505,3059,3282
,112200,1439,2265,2760
,141300,1389,1881,2292
,177800,1471,1813,2164
,223900,1394,2164,2373
,281800,1315,2450,2567
,354800,1147,2748,2867
,446700,979,3166,2940
,562300,890,3279,2995
,707900,681,3442,3057
,891300,626,3581,3064
,1122000,436,3381,3160
,1413000,362,3237,3023
,1778000,254,3009,2980
,2239000,171,2451,2983
,2818000,149,2068,2825
,3548000,89,1607,2686
,4467000,65,1347,2501
,5623000,56,968,2354
,7079000,41,714,2123
,8913000,20,533,1884
,11220000,12,386,1652
,14130000,6,245,1431
,17780000,1,174,1171
,22390000,2,90,871
,28180000,2,61,731
,35480000,0,36,565
,44670000,0,14,383
,56230000,1,7,311
,70790000,0,3,175
,89130000,0,2,122
,112200000,0,2,67
,141300000,0,0,39
,177800000,0,0,26
,223900000,0,0,18
,281800000,0,0,7
,354800000,0,0,3
,446700000,0,0,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 200.0,11220,4204,1813,1035
,14130,5110,2173,1912
,17780,5678,2636,2030
,22390,5808,3547,1969
,28180,5408,3761,2836
,35480,5080,4523,3573
,44670,3771,4908,3930
,56230,2746,5157,3970
,70790,2094,4609,4463
,89130,1873,3695,3563
,112200,1948,2807,3215
,141300,1992,2229,2596
,177800,2203,2252,2321
,223900,2103,2467,2591
,281800,2041,2733,2856
,354800,2011,3139,3151
,446700,1859,3484,3226
,562300,1580,3730,3389
,707900,1333,3704,3379
,891300,1208,3734,3272
,1122000,916,3659,3427
,1413000,824,3225,3429
,1778000,678,2799,3217
,2239000,482,2433,3343
,2818000,369,2038,3215
,3548000,279,1611,2938
,4467000,200,1188,2738
,5623000,162,896,2541
,7079000,88,643,2328
,8913000,56,435,1993
,11220000,34,315,1772
,14130000,23,226,1515
,17780000,10,154,1228
